　　　　刃袖払剣信士　　　　岡島八十右衛門《割書：常 樹（ムラ）｜三十八》
　　　　刃量霞剣信士　　　　勝田新左衛門《割書：武堯｜三十四》
　　　　刃補天剣信士　　　　前原伊助《割書：宗房｜四十》
　　　　刃模唯剣信士　　　　間新六《割書：光風｜二十三》
　　　　刃太及剣信士　　　　間瀬孫九郎《割書：正 辰（タツ）｜二十七》
　　　　刃湫跳剣信士　　　　間十次郎（奥田貞右衛門）《割書：光興｜二十六》
　　　　刃澤蔵剣信士　　　　矢頭右衛門七（間十次郎）《割書：教兼｜十八》
　　　　刃擲振剣信士　　　　奥田貞右衛門（矢頭右衛門七）《割書：行高｜二十六》
　　　　刃清元剣信士　　　　村松三太夫《割書：高直｜二十七》
