label,manifestUrl,projectId,size,progress,attribution,thumbnail
中道事一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_21.json,21dzk,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000227/full/full/0/default.jpg
標題,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952683_1.json,21dzk,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952683/F0000002/full/full/0/default.jpg
目次,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952700_02.json,21dzk,2,2,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952700/F0000003/full/full/0/default.jpg
標題,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_01.json,21dzk,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000003/full/full/0/default.jpg
続法相初心略要二巻内下巻見在,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_13.json,21dzk,11,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000148/full/full/0/default.jpg
一　仁王護国経疏三巻内一巻欠,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952686_03.json,21dzk,34,34,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952686/F0000004/full/full/0/default.jpg
法相二巻鈔二巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_19.json,21dzk,12,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000213/full/full/0/default.jpg
一　南都叡山戒壇勝劣事一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952809_06.json,21dzk,3,3,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952809/F0000012/full/full/0/default.jpg
法相髄脳一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_09.json,21dzk,2,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000084/full/full/0/default.jpg
一　左府抄三巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952788_06.json,21dzk,15,15,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952788/F0000166/full/full/0/default.jpg
一　法華開示抄第二,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952700_03.json,21dzk,46,46,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952700/F0000005/full/full/0/default.jpg
一　明要鈔五巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952788_04.json,21dzk,29,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952788/F0000104/full/full/0/default.jpg
一　律苑僧宝伝十五巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952809_12.json,21dzk,90,76,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952809/F0000067/full/full/0/default.jpg
唯識空観一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_22.json,21dzk,1,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000228/full/full/0/default.jpg
一　律宗瓊鑑章一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952809_08.json,21dzk,10,10,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952809/F0000017/full/full/0/default.jpg
一　仁王護国経疏三巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952686_07.json,21dzk,40,40,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952686/F0000113/full/full/0/default.jpg
一　般若心経略釈一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952686_10.json,21dzk,5,5,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952686/F0000202/full/full/0/default.jpg
一　因明大疏私抄三巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952788_07.json,21dzk,51,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952788/F0000181/full/full/0/default.jpg
一　最勝問答抄十巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952700_05.json,21dzk,51,51,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952700/F0000111/full/full/0/default.jpg
目次,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952699_02.json,21dzk,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952699/F0000003/full/full/0/default.jpg
一　八海含蔵一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952683_8.json,21dzk,2,2,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952683/F0000045/full/full/0/default.jpg
観心覚夢鈔三巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_16.json,21dzk,24,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000162/full/full/0/default.jpg
目次,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952686_02.json,21dzk,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952686/F0000003/full/full/0/default.jpg
一　顕揚正法復古集二巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952683_14.json,21dzk,36,36,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952683/F0000201/full/full/0/default.jpg
一　一乗義私記三巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952700_04.json,21dzk,60,60,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952700/F0000051/full/full/0/default.jpg
一　法苑義鏡五巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952785_03.json,21dzk,98,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952785/F0000005/full/full/0/default.jpg
目次,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952785_02.json,21dzk,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952785/F0000004/full/full/0/default.jpg
一　十宗略記一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952683_12.json,21dzk,12,12,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952683/F0000149/full/full/0/default.jpg
奥理抄一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_20.json,21dzk,2,2,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000225/full/full/0/default.jpg
一　護国鈔三巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952686_05.json,21dzk,48,48,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952686/F0000052/full/full/0/default.jpg
一　内典十宗秀句一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952683_5.json,21dzk,4,4,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952683/F0000024/full/full/0/default.jpg
一　四宗要文纂補三巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952683_11.json,21dzk,36,19,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952683/F0000113/full/full/0/default.jpg
一　大乗法相研神章五巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952760_03.json,21dzk,48,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952760/F0000006/full/full/0/default.jpg
一　釈尊影響仁王経秘法八巻合一本,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952686_06.json,21dzk,13,13,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952686/F0000100/full/full/0/default.jpg
一　戒律伝来記一巻,https://dzkimgs.l.u-tokyo.ac.jp/iiif/convert_mani/952809_03.json,21dzk,5,5,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/952809/F0000005/full/full/0/default.jpg
