【Right Page】
　　Physician　　　　Tsuruhara Dōshitsu
　　Surgeon　　　　Kōe Dōshū
　　Secretary　　　　Hoashi Manbei
　　Same　　　　　　Ōhara Jinsuke
　　Inspector　　　　Hosoguchi Yasuemon
　　Same　　　　　　Yano Ichisaku
　　Same　　　　　　Tanaka Gengoemon
　　Same　　　　　　Yamaji Yaemon
　　Foot Soldier Commander　　Takaya Ichisaku
　　Same　　　　　　Miki Magoroku

【Left Page】
　　Same　　　　　　Kajiwara Genzaburō
　　Same　　　　　　Yoshida Sebei
　　Same　　　　　　Hama Tarōzaemon
　　Onga District Administrator　　Miyakawa Sadayū
　　Wakamatsu Deputy　　Chikushi Jirōzaemon
　　《Crossed out: Artillery officer｜Artillery officer》　　Tsuda Takeemon
　　Same　　　　　　Same　Jintayū
　　Same　　　　　　Ban　Kaemon
