Thread konjac　　　　　　　　　Lined iwatake mushrooms　　　　　　　
Bamboo grass mushrooms　　　　　Chinese yam　julienned　　　　　

Thin rolls　　　　　　　　　　　Matsutake mushrooms　　　　　　　
Magnolia leaf wood ear　　　　　Frozen konjac　　　　　

Bean sprouts　　　　　　　　　　Fragrant rice crackers　　　　　　
Sagara seaweed　　　　　　　　　Hijiki seaweed　　　　　　

Dumpling soup　　　　　　　　　Millet wheat gluten　　　　　　　
Spinach　　　　　　　　　　　　Daikon radish sprouts　　　　　　　　
　　　　　　　　　　　　　　　julienned

Mountain-shaped wheat gluten　　　Kanten agar　　　　　　
Sword beans　julienned　　　　　Lotus root　julienned　　　　　　

Castella-style wheat gluten　　　White tofu　　　　　　　　
Chrysanthemum greens　　　　　　Green laver seaweed　　　　　　　

Leaf coating　　　　　　　　　　Grilled red wheat gluten　　　　　　
Pounded chestnuts　　　　　　　　White-hair style chestnuts　　　　　　　

Frozen tofu　　　　　　　　　　Taro　　　　　
Lotus tubers　　　　　　　　　　Sagara seaweed
