《Title: The Loyal Record of Kuroda》
　Master director Kinugasa Teinosuke
　assembles the finest staff of the era
　and devotes all his energy to this
　innovative spectacular production
　　Shochiku Block's all-star super production

【Horizontal text】
Coming soon

【First section】
Screenplay
　New Japan Film Research Institute
　Tanaka Zenzo
Direction
　Kinugasa Teinosuke
Cinematography
　Sugiyama Kohei
Costume supervision
　Yoshikawa Kanpo
Music
　Fukai Shiro

【Second section】
　Bando Jusaburo
　Bando Kotaro
　Takada Kokichi
　Iizuka Toshiko
　Iwata Yukichi
　Namino Mitsuhiro
　Araki Shinobu
　Shiga Yasuro
　Takamatsu Kinnosuke
　Yamaji Yoshito
　Hori Masao
　Tsuboi Satoshi
　Minami Komei
　Seki Misao
　Hayama Junnosuke
　Honjo Katsuji
　Nagata Yasushi
　Hongo Hideo
　Kitami Reiko
　Fushimi Nobuko
　Mitsukawa Kyoko
　Hanaoka Kikuko
　Shirakawa Fujiko

【Third section】
　Beni Miyoko
　Kagami Junko
　Shibata Atsuko
　Yamato Hisano
　Takimi Sugako
　Fushimi Naoe
　Susukida Kenji
　Mitsuoka Ryuzaburo
　Bando Kitanosuke
　Katsuragi Koichi
　Nambu Shozo
　Mizuno Hiroshi
　Kazama Soroku
　Toyama Mitsuru
　Nakamura Shotaro
　Umewaka Reisaburo
　Nakamura Tokisaburo
　Nakagawa Yoshie
　Narita Mitsue
　Mogami Yoneko
　Amano Jinichi
　Narasawa Issei
　Nomura Tetsuo

【Fourth section】
　Uno Kennosuke
　Inoue Haruo
　Tamashima Aizo
　Hose Eijiro
　Arashi Kikumaro
　Okawa Rokuro
　Inami Einosuke
　Yuki Ichiro
　Nakamura Seijiro
　Hara Seishiro
　Nakamura Yoshimatsu
　Kusakabe Ryoma
　Onoe Eijiro
　Yamaguchi Katsuji
　Ishihara Sumao
　Ogawa Tokiji
　Hirota Takashi
　Miyamura Matsue
　Onoe Kikuzo
　Senda Koreya
　Nitta Chisaku
　Onda Seijiro
　Okada Hisashi
