【右丁】
　汐見橋　　《割書：小伝馬町ゟ｜馬喰町へわたる》
　鞍掛橋　　《割書：馬喰町にかゝる｜》
　千鳥橋　　《割書：元はま町ゟ｜橘町へわたる》
　幽霊橋　　《割書：亀井町にかゝる｜》
　道場（どうじやう）橋　　《割書：いせ町ゟ｜大てんま町へわたる》
  　雲母（きらゝ）橋　　《割書：せと物町へわたる｜》
　きらず橋　《割書：せと物町｜》
　荒和布（あらめ）橋　《割書：本船町ゟ｜小舟町へわたる》
　堺橋　　　《割書：堀江町ゟ新材木町へ｜わたる私にわこくはしと云》
　高砂橋　　《割書：高砂町｜》
　尼が橋　　《割書：堀留にかゝる｜》
　思案橋　　《割書：小網町一丁めゟ｜二丁めへわたる》
　親父橋　　《割書：てりふり町ゟ｜よし町へわたる》
　わざくれ橋　《割書：小あみ町ゟ｜甚左衛門町へわたる小橋》
　くづれ橋　《割書：小網町ゟ甚左衛門町へ｜わたる本久世ばしと云とそ》
　難波橋　　《割書：なには町ゟ｜はま町へわたる》
【左丁】
　栄橋　　　《割書：富沢町ゟ｜久まつ町へわたる》
　永久橋　　《割書：はま町ゟ｜はこさきへわたる》
　豊見橋　　《割書：北新堀ゟ｜南しんほりへわたる》
　湊橋　　　《割書：霊かん島ゟ｜はこさきへわたる》
　霊岸橋　　《割書：南かやば町ゟ｜れいがん島へわたる》
　乙女橋　　《割書：永代のわき新堀に｜かゝる新川へわたる》
　海賊橋　　《割書：本材木町ゟ｜坂本町へわたる》
　中の橋　　《割書：本材木町三丁めゟ｜八丁ほりへわたる》
　越中橋　　《割書：本材木町五丁めゟ｜八丁ほりへわたる》
　松屋橋　　《割書：同七丁めゟ｜松ノや町へわたる》
　戸越橋　　《割書：同八丁めゟ｜八丁ほりへわたる》
　真福寺橋　《割書：本材木町｜私に牛のくそはし》
　鷹匠橋　　《割書：本材木町四丁め｜五丁めの間》
　床橋　　　《割書：本材木町八丁目｜》
　地蔵橋　　《割書：八丁ほり火の見の｜下の石はし》
　亀島橋　　《割書：霊かん島川口町ゟ｜八丁ほりへわたる》

【欄外に「□」と「四十七」】
