Frost-sprinkled rice cake　　　　　　Hakata rice cake

Ise child rice cake　　　　　　　　　Japanese pepper rice cake

Morning sun rice cake　　　　　　　Branch persimmon rice cake

Small grilled rice cake　　　　　　　Scouring rush rice cake

Yuzu rice cake　　　　　　　　　　　Kaga rice cake

Mandarin rice cake　　　　　　　　　White snow rice cake

Korean rice cake　　　　　　　　　　Kudzu vine rice cake

Amber rice cake　　　　　　　　　　White jewel rice cake

Rolled wheat gluten grill　　　　　　Kudzu roll

Sukesō grill　　　　　　　　　　　　Rolled rice cake grill

Arrow rice cake　　　　　　　　　　Raft rice cake

　　rice cake　　　　　　　　　　　Kudzu flower rice cake

Gyūhi candy　　　　　　　　　　　　Shallow grass candy

Korean morning candy　　　　　　　　Rock sugar candy

Castella　　　　　　　　　　　　　　Red sugar

Spring haze　　　　　　　　　　　　Maple leaf rice cake


　　　Section on Dried Confections
