Kōke (High-ranking ceremonial officials)
Kanehori tochi-chestnut　　Toki Dewa-no-kami
Ōmori black-chestnut　　　Rokkaku Echizen-no-kami
Wakayanagi bay　　　　　Imagawa Suruga-no-kami
Hirose black-bay　　　　　Arima Hyōbu-dayū
Ayukawa bay　　　　　　Shinagawa Shikibo-dayū
Oguni chestnut　　　　　Toda Hyūga-no-kami
　　Kari-no-ma (Goose Chamber)
Eguchi bay　　　　　　　Inaba Nagato-no-kami
Nishimura bay　　　　　Doi Ōi-no-kami
Gonohe gray　　　　　　Toda Inaba-no-kami
Asaka tochi-chestnut　　　Akimoto Tajima-no-kami
Kinkazan tochi-chestnut　　Inoue Kawachi-no-kami
Nakazato bay　　　　　　Naitō Suruga-no-kami
