label,manifestUrl,projectId,size,progress,attribution,thumbnail
御府内大地震類焼場所再細記,https://www.dheq.org/repo/iiif/3348/manifest,zisin,16,16,佐賀県立図書館,https://www.dheq.org/repo/iiif-img/3426/full/200,200/0/default.jpg
火水風災雑輯. [1],https://www.dl.ndl.go.jp/api/iiif/2592140/manifest.json,zisin,84,41,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2592140/T0000001/full/full/0/default.jpg
〔馬渡多蔵書簡〕,https://www.dheq.org/repo/iiif/3339/manifest,zisin,1,1,佐賀県立図書館,https://www.dheq.org/repo/iiif-img/3454/full/200,200/0/default.jpg
銘細改板江戸大地震出火場所附,https://www.dl.ndl.go.jp/api/iiif/1301831/manifest.json,zisin,2,2,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1301831/T0000001/full/full/0/default.jpg
平安万歳楽,https://kotenseki.nijl.ac.jp/biblio/200017691/manifest,zisin,15,15,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200017691/v4/NIAC/MIT-Y01422-004/MIT-Y01422-004-00001.tif/full/400,/0/default.jpg
大地震妖怪神宮退治之図,https://www.dl.ndl.go.jp/api/iiif/1302063/manifest.json,zisin,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1302063/T0000001/full/full/0/default.jpg
武家方并寺院等ニテ施差出候一件,https://www.dl.ndl.go.jp/api/iiif/2532792/manifest.json,zisin,192,192,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2532792/T0000001/full/full/0/default.jpg
地震神考,https://kotenseki.nijl.ac.jp/biblio/200000472/manifest,zisin,13,13,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200000472/v4/image/110_0806/00000003/00000001.tif/full/400,/0/default.jpg
（地震に焼け出されたる図）,https://www.dl.ndl.go.jp/api/iiif/1303364/manifest.json,zisin,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1303364/T0000001/full/full/0/default.jpg
地災撮要. 巻11-12(地震之部),https://www.dl.ndl.go.jp/api/iiif/2533594/manifest.json,zisin,75,75,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2533594/T0000001/full/full/0/default.jpg
俗語之種. [3],https://www.dl.ndl.go.jp/api/iiif/2578788/manifest.json,zisin,24,24,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2578788/T0000001/full/full/0/default.jpg
（安政二年江戸大地震火事場の図）,https://www.dl.ndl.go.jp/api/iiif/1302057/manifest.json,zisin,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1302057/T0000001/full/full/0/default.jpg
書簡案,https://www.dheq.org/repo/iiif/3358/manifest,zisin,2,2,佐賀県立図書館,https://www.dheq.org/repo/iiif-img/3376/full/200,200/0/default.jpg
平安万歳楽,https://kotenseki.nijl.ac.jp/biblio/200017690/manifest,zisin,14,14,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200017690/v4/NIAC/MIT-Y01422-003/MIT-Y01422-003-00001.tif/full/400,/0/default.jpg
写本　文化十二年九州大風雨流失損亡記並越後大地震之控,https://www.dheq.org/repo/iiif/3342/manifest,zisin,11,4,佐賀県立図書館,https://www.dheq.org/repo/iiif-img/3362/full/200,200/0/default.jpg
地震用心の歌,https://www.dl.ndl.go.jp/api/iiif/1302140/manifest.json,zisin,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1302140/T0000001/full/full/0/default.jpg
某消息,https://www.dheq.org/repo/iiif/3357/manifest,zisin,2,2,佐賀県立図書館,https://www.dheq.org/repo/iiif-img/3380/full/200,200/0/default.jpg
（安政二年江戸大地震火事場の図）,https://www.dl.ndl.go.jp/api/iiif/1302061/manifest.json,zisin,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1302061/T0000001/full/full/0/default.jpg
