label,manifestUrl,projectId,size,progress,attribution,thumbnail
天保九戊戌年御入部御道中御供行列帳,https://honkoku.org/manifests/fukui/012-2005642.json,dafukui,35,2,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2005642/3068390/3068390_0000001.jpx/full/200,/0/default.jpg
消息千字文（往来物、手習手本）,https://honkoku.org/manifests/fukui/011-506518.json,dafukui,34,34,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0220000/X0220006/2610037_2014010100002200006.jpx/full/200,/0/default.jpg
道中小遣留帳（旅）,https://honkoku.org/manifests/fukui/011-340140.json,dafukui,27,1,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0230000/X0230002/2639792_2014010100002300002.jpx/full/200,/0/default.jpg
中仙道道中覚,https://honkoku.org/manifests/fukui/011-2809538.json,dafukui,15,9,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2809538/3290182/3290182_0000001.jpx/full/200,/0/default.jpg
温古集 二巻,https://honkoku.org/manifests/fukui/011-321383.json,dafukui,156,156,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3007577_2014010100002900001.jpx/full/200,/0/default.jpg
御用并被仰出之部,https://honkoku.org/manifests/fukui/011-321395.json,dafukui,72,30,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0290000/X0290001/3002202_2014010100002900001.jpx/full/200,/0/default.jpg
教訓書手本（手習、初登山山手習教訓書）,https://honkoku.org/manifests/fukui/011-506510.json,dafukui,16,16,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0220000/X0220005/2609810_2014010100002200005.jpx/full/200,/0/default.jpg
敦賀藩名改称歎願書,https://honkoku.org/manifests/fukui/012-2005628.json,dafukui,6,6,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/2005628/3067715/3067715_0000001.jpx/full/200,/0/default.jpg
一札之事（豆腐直段ニ付）,https://honkoku.org/manifests/fukui/011-338424.json,dafukui,2,2,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0100000/X0100010/2224955_2014010100001000010.jpx/full/200,/0/default.jpg
越前国大野郡今井村明細帳,https://honkoku.org/manifests/fukui/011-424704.json,dafukui,10,10,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0060000/X0060007/1411770_2014010100000600007.jpx/full/200,/0/default.jpg
相定メ申一札之事（桑植付之儀等ニ付）,https://honkoku.org/manifests/fukui/011-305755.json,dafukui,2,0,福井県文書館 Fukui Prefectural Archives,https://www.library-archives.pref.fukui.lg.jp/archive/ics/viewer/iipsrv.fcgi?IIIF=/ikou/X0220000/X0220001/2563613_2014010100002200001.jpx/full/200,/0/default.jpg
