【右丁】
   　　　田作鱠之事　　　　　　　集め鱠之事
　　　山吹鱠之事　　　　　　　卯花鱠之事
　　　紅葉鱠之事　　　　　　　雪鱠之事
　　　鮎之子付鱠之事　　　　　鮎筏膾之事
　　　煎海鼠鱠之事　　　　　　飛頭鱠之事
　　　貝鱠之事　　　　　　　　雉膾之事
　　　鱸之五色鱠之事　　　　　本汁之事
　　　二の汁之事　　　　　　　三の汁之事
　　　塩鳥。生鳥の汁之事　　　青■汁之事
　　　刺鯖汁之事　　　　　　　冷汁之事
　　　懸菜汁之事　　　　　　　納豆もどき之事

【左丁】
　　　山陰煮之事　　　　　　　定家煮之事
　　　潮煮之事　　　　　　　　一こん煮之事
　　　精進煮物一種　　　　　　鳥之ひしほ煎之事
　　　青勝煎之事　　　　　　　羽ぶし煎之事
　　　鶉之床煎之事　　　　　　かはいり之事
　　　雁之せん場之事　　　　　桜熬たこ之事
　　　愛知川いり之事　　　　　うけいり之事
　　　ふくらいり之事　　　　　煎物之事
　　　冷鯛之事　　　　　　　　松笠鯛之事
　　　水繊鯛之事　　　　　　　凍鯛之事
　　　鯛麦込蒸之事　　　　　　鯛丸揚之事

【■は「渕」の誤記ヵ。「青淵汁」ヵ】
