【右丁】

下古田村 五十二　羽場村 四十二　北大出村 六十五　新町村 四十五
宮木村 六十二　宮新村 二十六　今村 三十八　上嶋村 五十二
両沢村 八　西伊那部村 六十六　辰野村 五十一　平出村 九十二
沢庭村 五十三　赤羽村 四十七　樋口村 六十四　芦沢村 四十二
笠原村 六十五　下大嶋村 四十四　東伊那部村 百十七　山寺村 五十七
御薗村 五十八　上牧村 四十五　狐嶋村 五十六　小出村 百五十五
宮田村 百五十二　中越村 六十五　板町村 三十三　的場村 十四
弥勒村 二十六　板山村 二十五　野笹村 二十　中村 四十
中条村 十九　台村 二十七　北原村 二十一　あら町村 四十二
水上村 二十八　御堂垣外村 六十二　片倉村 三十八　小原村 四十三

【左丁】

山田村 九十三　勝間村 三十八　非時村 百二十　横川村 百二十五
黒沢村 十七　四日市場村 二十二　栗田村 四十七　野座村 二十六
上飯田村 八十四　下市田村 十九　吉田村 七十二　牛牧村 六十一
山村 百二十四　嶋田村 百四十七　毛賀村 三十　御料村 五十九
相林村 四十四　時又村 十六　上川路村 二十二　中村 十八
三日市場村 三十三　大瀬木村 七十七　北方村 八十二　上殿岡村 十
下殿岡村 二十五　一色村 十六　名子熊村 三十二　立石村 三十六
山本村 百十　河内村 十五　栗矢村 三十八　上穂村 百三十五
伊豆木村 四十八　両沢村《割書：小野村ニ｜籠ル》　野口村 百三十五　小野村 百七十八
上穂町村 二十八　竹佐村 百一　山本村 七十四　中村 六十三
粂村 六十四　下川路村 七十二　伊豆木村 十二　親田村 七十
