label,manifestUrl,projectId,size,progress,attribution,thumbnail
名代干菓子山殿 3巻,https://www.dl.ndl.go.jp/api/iiif/8929828/manifest.json,kusazoushi,20,20,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/8929828/T0000001/full/full/0/default.jpg
間似合嘘言曽我 3巻,https://www.dl.ndl.go.jp/api/iiif/10301589/manifest.json,kusazoushi,18,13,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/10301589/T0000001/full/full/0/default.jpg
鎌田又八 2巻,https://www.dl.ndl.go.jp/api/iiif/8929443/manifest.json,kusazoushi,17,17,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/8929443/T0000001/full/full/0/default.jpg
通風伊勢物語 : 3巻,https://www.dl.ndl.go.jp/api/iiif/9892577/manifest.json,kusazoushi,18,18,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/9892577/T0000001/full/full/0/default.jpg
間違狐之女郎買 / 市場通笑作,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/4446c492-e2ec-4393-aa9c-a699041a2c11/manifest,kusazoushi,18,18,東京大学総合図書館 General Library in the University of Tokyo, JAPAN,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/bfb672fea9c1ddacd8d33bc42c6b63cd3635dc2c.jpg
四天王宿直着綿,https://www.dl.ndl.go.jp/api/iiif/2533992/manifest.json,kusazoushi,15,15,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2533992/T0000001/full/full/0/default.jpg
御代参牛時詣 / 市場通笑作,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/be9126fd-0e68-4485-ae50-be6a3d90c465/manifest,kusazoushi,18,18,東京大学総合図書館 General Library in the University of Tokyo, JAPAN,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/e039f0a3c6cd11f317c3b304735ceffc7453fdbd.jpg
[大昔化物双紙] : 2巻,https://www.dl.ndl.go.jp/api/iiif/9892728/manifest.json,kusazoushi,15,6,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/9892728/T0000001/full/full/0/default.jpg
化物七段目 : 2巻,https://www.dl.ndl.go.jp/api/iiif/9892508/manifest.json,kusazoushi,15,14,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/9892508/T0000001/full/full/0/default.jpg
化物楽屋異牒 : 2巻,https://www.dl.ndl.go.jp/api/iiif/9893111/manifest.json,kusazoushi,20,20,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/9893111/T0000001/full/full/0/default.jpg
