id	label	manifestUrl	projectId	size	progress	attribution	thumbnail
0051165A9D282479EE0BB63AD4C4F044	若狭国太良庄地頭領家両方半済并預所職契約状案	https://iiif.khirin-labs.org/html/manifest/hyakugo/17689.json	hyakugo	3	1	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11544_0001.tif/full/400,/0/default.jpg
0054A9271BD2881CB0833B8B720443F5	野村宗椿料足請取	https://iiif.khirin-labs.org/html/manifest/hyakugo/10466.json	hyakugo	2	0	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07157_0001.tif/full/400,/0/default.jpg
039D1FD2A6596649D28F0ED3B491F50C	大内義興奉行人連署禁制	https://iiif.khirin-labs.org/html/manifest/hyakugo/10463.json	hyakugo	2	2	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07154_0001.tif/full/400,/0/default.jpg
068AA48229ED24CBB6C50561617D1F9A	近江国三村庄代官河井重久寺用米請文	https://iiif.khirin-labs.org/html/manifest/hyakugo/17682.json	hyakugo	3	3	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11537_0001.tif/full/400,/0/default.jpg
0798F87D5D5FBD150FF81FF6D3D1709A	与四郎吉久東寺八幡宮々仕職条々請文	https://iiif.khirin-labs.org/html/manifest/hyakugo/10478.json	hyakugo	2	2	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07169_0001.tif/full/400,/0/default.jpg
086F2C6DAC741E8FFC2A7748E10DFFC3	検非違使別当宣	https://iiif.khirin-labs.org/html/manifest/hyakugo/17739.json	hyakugo	2	1	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11587_0001.tif/full/400,/0/default.jpg
0AADE5ACA9A14265564066577A6CA059	蓮池重継田地避状	https://iiif.khirin-labs.org/html/manifest/hyakugo/17666.json	hyakugo	2	1	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11525_0001.tif/full/400,/0/default.jpg
0D4D466A020DF616184F9D97C029522E	讃岐法師定増若狭国太良庄領家方代官職条々請文	https://iiif.khirin-labs.org/html/manifest/hyakugo/17685.json	hyakugo	4	4	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11540_0001.tif/full/400,/0/default.jpg
101BC0EC0DFB271B12691B07C6D302C7	執行厳瑜請文	https://iiif.khirin-labs.org/html/manifest/hyakugo/17668.json	hyakugo	2	2	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11527_0001.tif/full/400,/0/default.jpg
1095FE519245A59B9CF1F3F3A88F89E9	勢多章頼東寺寄検非違使俸禄請取	https://iiif.khirin-labs.org/html/manifest/hyakugo/17658.json	hyakugo	2	2	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11519_0001.tif/full/400,/0/default.jpg
11A12FA0D2B11B2FE367ABDA3C4CBF43	松茸代銭注文	https://iiif.khirin-labs.org/html/manifest/hyakugo/10483.json	hyakugo	2	0	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07174_0001.tif/full/400,/0/default.jpg
132B385452324AD6B3F4B3328439B97D	会中講配文并講師問者等交名	https://iiif.khirin-labs.org/html/manifest/hyakugo/10514.json	hyakugo	56	16	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07186_0001.tif/full/400,/0/default.jpg
153A72B3EFDBB0C47123BA8010E06CF2	室町幕府禁制	https://iiif.khirin-labs.org/html/manifest/hyakugo/10481.json	hyakugo	2	2	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07172_0001.tif/full/400,/0/default.jpg
16382FE6B64B5961E37B9EF0F59D83D0	後奈良天皇女房奉書	https://iiif.khirin-labs.org/html/manifest/hyakugo/10477.json	hyakugo	3	2	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07168_0001.tif/full/400,/0/default.jpg
166E2098239703E7C783CB3B752CAE6D	かたおか光泰・沙弥源光連署利銭借状	https://iiif.khirin-labs.org/html/manifest/hyakugo/17673.json	hyakugo	8	0	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11531_0001.tif/full/400,/0/default.jpg
16835C14FDC3993DC10D6769D71815D7	信誓書状	https://iiif.khirin-labs.org/html/manifest/hyakugo/17646.json	hyakugo	3	0	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11512_0001.tif/full/400,/0/default.jpg
17EBF9AD6448548807BD15D18E88DB13	大勝院隆賢書状	https://iiif.khirin-labs.org/html/manifest/hyakugo/17715.json	hyakugo	3	3	京都府立京都学・歴彩館 Kyoto Institute, Library and Archives	https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11565_0001.tif/full/400,/0/default.jpg
