一高拾石七斗壱升五合 　　　　《割書：松平出羽守領分》《場所：小伊津村》
一高四百三拾三石九斗八合　　　　《割書：右同人領分》《場所：多久村》
一高六百七石八斗九升八合　　　　《割書：右同人領分》《場所：多久谷村》
一高六百拾八石三斗三升壱合　　　　　　　《場所：園村》
　　　　　内《割書：五百四拾五石六斗九升五合　松平出羽守領分｜七拾弐石六斗三升六合》
一高六百八拾八石三斗壱升七合　《割書：松平出羽守領分》《場所：鹿園寺村》
一高六百四拾三石四斗壱升五合　　《割書：右同人領分》《場所：小境村》
一高五百三拾弐石六斗四升弐合　　《割書：右同人領分》《場所：奥宇賀村》
一高五百三拾石五斗三升六合　　　《割書：右同人領分》《場所：口宇賀村》
