「Right Volume」
Granted 10 pieces of gold　　　Sugi　Jiryōemon
Same　　　　　　　　　　　　Arimura Hachirō
Same　　　　　　　　　　　　Yoshida Hachinoshin
Same　　　　　　　　　　　　Fujino Sōhei
Same　　　　　　　　　　　　Yamada Kakuheiji
Same　　　　　　　　　　　　Miyagawa Risuke
Same　　　　　　　　　　　　Muragaki Takubei
Same　　　　　　　　　　　　Katsuma Jinzō
Same　　　　　　　　　　　　Higuchi Gorōsuke
Same　　　　　　　　　　　　Kawasaki Takusuke
「Left Volume」
Same　　　　　　　　　　　　Nakanishi Tadatsugu
Same　　　　　　　　　　　　Muranishi Tazaemon
Same　　　　　　　　　　　　Era Shichisaburō
Same　　　　　　　　　　　　Fukushima Zennosuke
Same　　　　　　　　　　　　Noma Seisuke
Same　　　　　　　　　　　　Same　Hikonosuke
Same　　　　　　　　　　　　Tsuda Yaheiji
Same　　　　　　　　　　　　Yoshida Tōgorō
Same　　　　　　　　　　　　Oda Jūsaburō
Same　　　　　　　　　　　　Ki Tazakichi
