【Right Page】

Shimo-furuta village 52, Haba village 42, Kita-oide village 65, Shinmachi village 45
Miyaki village 62, Miya-shin village 26, Ima village 38, Kamishima village 52
Ryosawa village 8, Nishi-inabu village 66, Tatsuno village 51, Hirade village 92
Sawaniwa village 53, Akahane village 47, Higuchi village 64, Ashizawa village 42
Kasahara village 65, Shimo-oshima village 44, Higashi-inabu village 117, Yamadera village 57
Misono village 58, Kamimaki village 45, Kitsuneshima village 56, Koide village 155
Miyata village 152, Nakakoshi village 65, Itamachi village 33, Matoba village 14
Miroku village 26, Itayama village 25, Nozasa village 20, Nakamura 40
Nakajo village 19, Dai village 27, Kitahara village 21, Aramachi village 42
Mizukami village 28, Mido-kaito village 62, Katakura village 38, Obara village 43

【Left Page】

Yamada village 93, Katsuma village 38, Hijiori village 120, Yokokawa village 125
Kurosawa village 17, Yokkaichiba village 22, Kurita village 47, Noza village 26
Kami-iida village 84, Shimo-ichida village 19, Yoshida village 72, Ushimaki village 61
Yama village 124, Shimada village 147, Moga village 30, Goryo village 59
Aibayashi village 44, Tokimata village 16, Kami-kawaji village 22, Nakamura 18
Mikkaichiba village 33, Oseki village 77, Kitakata village 82, Kami-tonooka village 10
Shimo-tonooka village 25, Isshiki village 16, Nagokuma village 32, Tateishi village 36
Yamamoto village 110, Kawachi village 15, Kuriya village 38, Kamiho village 135
Izuki village 48, Ryosawa village《marginal note: included in Ono village》, Noguchi village 135, Ono village 178
Kamiho-machi village 28, Takesa village 101, Yamamoto village 74, Nakamura 63
Kume village 64, Shimo-kawaji village 72, Izuki village 12, Oyada village 70
