【Right Page】

Tazawa village 22, Maruyama-shinden 39, Wakamiya-shinden 28, Yanagisawa-shinden 55
Osawa-shinden 8, Tsukinoki-shinden 70, Osawa-shinden 12, Kita-oshio village 162
Kikusawa-shinden 37, Yanagisawa-shinden 102, Kashiwabara-shinden 110, Odaira-shinden 5
Matsuda-shinden 6, Yatsude-shinden 54, Kusaki-shinden 42, Shobu-shinden 35
Kurio-shinden 20, Yokobuki-shinden 10, Misha-yamakambe 95, Naka-shinden 153
Kibune-shinden 33, Kamibazawa-shinden 38, Sakamuro-shinden 30, Shiozawa village 38
Nikubo-shinden 5, Furuta village 77, Ohikage-shinden 20, Kashiwabara village 64
Imojiya-shinden 18, Misaku-shinden 《marginal note: 5｜currently 4》, Funakubo-shinden 5, Itosumire-shinden 38
Anayama-shinden 65, Yamada-shinden 55, Kyudo village《marginal note: 5｜currently 3 horses》, Hiraoka village《marginal note: 5｜currently 4 horses》
Koyaba-shinden 11, Nakamichi village 58, Eboshi-shinden 9, Kiso village 57

【Left Page】

Okubo village 12, Kamishiro village《marginal note: currently 4 each》, Matanami village 9, Kosaka village 30
Takabe village 12, Iijima village 20, Arai village 6, Kubo-takei village 5
Yamato village 8, Tomoncho 23, Kami-kaneko village 16, Kambe village 58
Enmiyama village 5, Hienokoko village《marginal note: included in Otoko village》, Otokoto village 116, Tabata village 17
Koroku-shinden 21, Takamori village 31, Shimo-tsutaki village 20, Katsukubo village 48
Tatsuzawa village 105, Sendatsu village 5, Hokuto village《marginal note: included in Sendatsu village》, Ikenofukuro village 22
Nishi-yamada village 60, Tomibe village 9, Higashi-yamada village 73, Nishibori village 17
Takagi village 23, Imai village 28, Komazawa village 30, Ayuzawa village 17
Higashibori village 21, Shimonohara village 15, Tabe village 38, Jingu village 19
