## 虫譜図説 第七巻（続き）
### 卵生虫類 その八（続き）

| 漢字表記 | 和名 | 漢字表記 | 和名 |
|---------|------|---------|------|
| 黄飛螘 | アカハアリ（赤羽蟻） | 蛆 | ウジ（蛆） |
| 糞中蛆 | キクウシ | 蟻蛭土 | （和名なし） |
| 白蟻泥 | （和名なし） | 独脚蟻 | （和名なし） |
| 青腰虫 | （和名なし） | 泥中蛆 | （和名なし） |
| 馬肉蛆 | （和名なし） | 蝦蟆肉蛆 | （和名なし） |
| 菜中蛆 | （和名なし） | （無記載） | 尾長ウジ |
| （無記載） | サシ | （無記載） | 蚕繭蛆※蚕の条に出る |
| 蠅 | ハイ（蝿） | （無記載） | 小バイ |
| 青（蠅） | キンバイ（金蝿） | 蒼蠅 | （和名なし） |
| 大麻蠅 | 大シマバイ（大縞蝿） | 青蠅 | （和名なし） |
| （無記載） | 猩々バイ | 狗蠅 | （和名なし） |
| 壁蝨 | ダニ（壁蝨） | 牛蝨 | スダリ |
| 人蝨 | シラミ（虱） | 蟣 | キサヽ（虮） |
| 頭蝨 | （和名なし） | 陰蝨 | （和名なし） |
