Large senbei crackers　　　　　　　Rolled senbei crackers

Snow senbei crackers　　　　　　　Morning glory senbei crackers

Kudzu senbei crackers　　　　　　　Large aruheito sugar candy

Striped aruheito sugar candy　　　　Colored aruheito sugar candy

Golden thread sugar　　　　　　　　Gold dust sugar

Amber sugar　　　　　　　　　　　Carrot sugar

Golden leaf sugar　　　　　　　　　Wrinkled sugar

Bracken shoot sugar　　　　　　　　Konpeitō sugar

Raft sugar　　　　　　　　　　　　Daruma sugar

Meira confection　　　　　　　　　Crab meira confection

Dried squid meira　　　　　　　　　Large green confection

Small green confection　　　　　　　Red green pear confection

Frost pillar　　　　　　　　　　　Pine wind confection

Rolled pine wind　　　　　　　　　Small pine wind

Rod-shaped confections　　　　　　　Large rakugan

Small rakugan　　　　　　　　　　Red rakugan

Chrysanthemum rin　　　　　　　　Butterfly rin

Genji kaya nuts　　　　　　　　　　Genji walnuts
