The following entries are from the land survey register (mizuchō) for Azawa Village:

| Land Type | Area | Yield (koku) | Registered Holder |
|-----------|------|--------------|-------------------|
| Upper-grade dry field | 2 tan 4 se 9 bu | 2 koku 9 to 1 shō 6 gō (sic) | Nakauemon |
| Upper-grade dry field | 3 se 21 bu | 4 to 4 shō 4 gō | Saburōuemon |
| Upper-grade dry field | 1 tan [correction applied] | 1 koku 2 to | Shinuemon |
| Upper-grade dry field | 7 se 21 bu | 9 to 2 shō 4 gō | Rokurōuemon |
| Upper-grade dry field | 1 tan 2 se | 1 koku 4 to 4 gō | Tomi |
| *(Verification seal: "Fukuju")* | | | |
| Upper-grade dry field | 1 tan 9 se 6 bu | 2 koku 3 to 4 gō | Kozaemon |
| Upper-grade dry field | 1 se 15 bu | 1 to 8 shō | Same person |
| *(Notation: "fuke ara" — attached wasteland)* | | | |
| Upper-grade dry field | 9 se 6 bu | 1 koku 1 to 4 gō | I■■ (likely: Iemon) |
| Upper-grade paddy field | 8 se 3 bu | 1 koku 2 to 9 shō 6 gō | Jinshirō |
| Upper-grade paddy field | 2 se 3 bu | 3 to 3 shō 6 gō | Same person |
