【ページ番号】115

Dairi (Plan du ...)   　　　　　　　Chin.No.1819

Japon (Carte complete du ...)　 Japon No.97

Japon (Carte du ...)　　　　　　Japon No.98

Japon (Cartes du ...)　　　　　　Japon No.123

Japon (Atlas du ...)　　　　　　 Chin.No.3623

Japon (Carte routiere du ...)　　Chin.No.1807

Japon (Carte routiere du ...)　　Chin.No.1955

Myako (Nouveau plan de...)　　Chin.No.1815

Yedo (Nouveau plan de ...)　　 Chin.No.1814

Yedo (Plan de ...)   　　　　　　  Chin.No.2340
