label,manifestUrl,projectId,size,progress,attribution,thumbnail
賀茂社記録. 第65冊,https://dl.ndl.go.jp/api/iiif/2540585/manifest.json,kamosha,142,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540585/T0000001/full/full/0/default.jpg
賀茂社記録. 第14冊,https://dl.ndl.go.jp/api/iiif/2540537/manifest.json,kamosha,25,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540537/T0000001/full/full/0/default.jpg
賀茂社記録. 第33冊,https://dl.ndl.go.jp/api/iiif/2540555/manifest.json,kamosha,127,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540555/T0000001/full/full/0/default.jpg
賀茂社記録. 第54冊,https://dl.ndl.go.jp/api/iiif/2540575/manifest.json,kamosha,161,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540575/T0000001/full/full/0/default.jpg
賀茂社記録. 第35冊,https://dl.ndl.go.jp/api/iiif/2540557/manifest.json,kamosha,110,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540557/T0000001/full/full/0/default.jpg
賀茂社記録. 第79冊,https://dl.ndl.go.jp/api/iiif/2540595/manifest.json,kamosha,39,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540595/T0000001/full/full/0/default.jpg
賀茂社記録. 第23冊,https://dl.ndl.go.jp/api/iiif/2540546/manifest.json,kamosha,157,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540546/T0000001/full/full/0/default.jpg
賀茂社記録. 第52冊,https://dl.ndl.go.jp/api/iiif/2540573/manifest.json,kamosha,161,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540573/T0000001/full/full/0/default.jpg
賀茂社記録. 第51冊,https://dl.ndl.go.jp/api/iiif/2540572/manifest.json,kamosha,87,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540572/T0000001/full/full/0/default.jpg
賀茂社記録. 第25冊,https://dl.ndl.go.jp/api/iiif/2540548/manifest.json,kamosha,152,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540548/T0000001/full/full/0/default.jpg
賀茂社記録. 第48冊,https://dl.ndl.go.jp/api/iiif/2540569/manifest.json,kamosha,179,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2540569/T0000001/full/full/0/default.jpg
賀茂祭縁起,https://dl.ndl.go.jp/api/iiif/2542592/manifest.json,kamosha,59,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2542592/T0000001/full/full/0/default.jpg
