【Right page】
○ Senbon Cherry　　　　　　　○ Kokonoe Cherry
○ Asagi Cherry　　　　　　　○ Kaba Cherry (also called Ki Cherry)
○ Kaba Cherry (also called Shirokaba Cherry)　　　　○ Tsumagurenai Cherry
○ Yōkihi Cherry　　　　　　　○ Ariake Cherry (both single and double-petaled varieties)
○ Temari Cherry　　　　　　　○ Itogukuri Cherry (also called Ōtemari Cherry)

【Left page】
○ Chōchin Cherry (Large Chōchin, Small Chōchin varieties)　　　　　　　○ Gosho Cherry
○ Shōkun Cherry　　　　　　　○ Nioi Cherry
○ Hi Cherry　　　　　　　　○ Satsuma-hi Cherry
○ Torano-o Cherry (including Beni-torano-o Cherry)　　　　　　○ Taisanbukun Cherry
○ Ma Cherry　　　　　　　　○ Toyama Cherry
