label,manifestUrl,projectId,size,progress,attribution,thumbnail
市郷質屋株御取究並御書出御趣法之写,https://khirin-a.rekihaku.ac.jp/manifests/goto/11-070.json,khirin,22,22,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F11-070-001.tif/full/400,/0/default.jpg
早渕村福満寺浄瑠璃再応行着添書ひかへ,https://khirin-a.rekihaku.ac.jp/manifests/goto/06-019.json,khirin,10,10,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-019-001.tif/full/400,/0/default.jpg
油稼御取究ニ附御箇條書テ以被仰渡南北同役申談御答書控,https://khirin-a.rekihaku.ac.jp/manifests/goto/11-069.json,khirin,33,33,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F11-069-001.tif/full/400,/0/default.jpg
漆買捌方之事（漆売却約定書）,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-016-005.json,khirin,5,5,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-016-005-001.tif/full/400,/0/default.jpg
奉申上覚（山城谷漆仕入買入銀主之義に付）,https://khirin-a.rekihaku.ac.jp/manifests/goto/05-103.json,khirin,6,6,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F05-103-001.tif/full/400,/0/default.jpg
和田村常夜燈建直行着添書控,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-010-037.json,khirin,6,6,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-010-037-001.tif/full/400,/0/default.jpg
御国産漆製法越法算建書共取替速判帳,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-016-008.json,khirin,11,11,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-016-008-001.tif/full/400,/0/default.jpg
諸御趣意書并御下知向之写,https://khirin-a.rekihaku.ac.jp/manifests/goto/22-007.json,khirin,252,252,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F22-007-001.tif/full/400,/0/default.jpg
和田村操芝居不合書控,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-010-005.json,khirin,9,9,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-010-005-001.tif/full/400,/0/default.jpg
口上（漆売捌きについて）,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-016-007.json,khirin,6,6,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-016-007-001.tif/full/400,/0/default.jpg
諸御用御□受書控,https://khirin-a.rekihaku.ac.jp/manifests/goto/22-008.json,khirin,296,296,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F22-008-001.tif/full/400,/0/default.jpg
申上覚（漆からろう製成及売捌きについて）,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-016-003.json,khirin,6,6,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-016-003-001.tif/full/400,/0/default.jpg
乍恐横切ヲ以奉申上覚（山城谷漆買入銀一件ニ付）,https://khirin-a.rekihaku.ac.jp/manifests/goto/06-030.json,khirin,10,10,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-030-001.tif/full/400,/0/default.jpg
和田村常夜燈寄進浄瑠璃行着書控他,https://khirin-a.rekihaku.ac.jp/manifests/goto/06-018.json,khirin,6,6,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-018-001.tif/full/400,/0/default.jpg
物産方奉願上候写（漆について）,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-027-009.json,khirin,7,7,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-027-009-001.tif/full/400,/0/default.jpg
郷酒株絞油株質屋株御取窮郡中名面帳並諸郡株数相改帳,https://khirin-a.rekihaku.ac.jp/manifests/goto/11-067.json,khirin,19,19,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F11-067-001.tif/full/400,/0/default.jpg
名東郡中酒株並造酒屋軒数取調帳,https://khirin-a.rekihaku.ac.jp/manifests/goto/11-066.json,khirin,22,22,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F11-066-001.tif/full/400,/0/default.jpg
(早渕村福満寺子供浄瑠璃願書）他,https://khirin-a.rekihaku.ac.jp/manifests/goto/06-020.json,khirin,9,9,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-020-001.tif/full/400,/0/default.jpg
藁御下知之写,https://khirin-a.rekihaku.ac.jp/manifests/goto/08-021-004.json,khirin,3,3,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F08-021-004-001.tif/full/400,/0/default.jpg
申達（山城谷漆買付役後藤利八郎、小川徳兵衛両名任命）,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-016-004.json,khirin,5,5,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-016-004-001.tif/full/400,/0/default.jpg
諸割賦物賃銀定記録帳,https://khirin-a.rekihaku.ac.jp/manifests/goto/21-028.json,khirin,49,49,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F21-028-001.tif/full/400,/0/default.jpg
乍恐奉願上覚（御国産櫨植付並実取集売捌等)他,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-027-006.json,khirin,13,13,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-027-006-001.tif/full/400,/0/default.jpg
名東郡中諸割賦元帳,https://khirin-a.rekihaku.ac.jp/manifests/goto/06-090.json,khirin,114,112,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-090-001.tif/full/400,/0/default.jpg
御ヶ条ヲ以被仰附株々申上帳（早渕村控）,https://khirin-a.rekihaku.ac.jp/manifests/goto/11-064.json,khirin,21,21,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F11-064-001.tif/full/400,/0/default.jpg
諸御願書控(後藤氏壱番）,https://khirin-a.rekihaku.ac.jp/manifests/goto/03-174.json,khirin,263,236,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F03-174-001.tif/full/400,/0/default.jpg
(美馬三好両郡百姓共煙草問屋壱手勘定ニ相成迷惑願右始末承申上書付之写）,https://khirin-a.rekihaku.ac.jp/manifests/goto/06-033.json,khirin,9,9,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-033-001.tif/full/400,/0/default.jpg
(早渕村福満寺子ども浄瑠璃願紙面）他,https://khirin-a.rekihaku.ac.jp/manifests/goto/06-034.json,khirin,34,34,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F06-034-001.tif/full/400,/0/default.jpg
御家中并無格御奉公人借銀御仕解一件御書付写其余共控,https://khirin-a.rekihaku.ac.jp/manifests/goto/11-034.json,khirin,25,25,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F11-034-001.tif/full/400,/0/default.jpg
南北拾郡造酒屋数並株数調子帳,https://khirin-a.rekihaku.ac.jp/manifests/goto/11-068.json,khirin,11,11,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F11-068-001.tif/full/400,/0/default.jpg
櫨実絞方実代指引算用書,https://khirin-a.rekihaku.ac.jp/manifests/goto/14-067-002.json,khirin,8,8,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F14-067-002-001.tif/full/400,/0/default.jpg
煙草問屋扱方一件他,https://khirin-a.rekihaku.ac.jp/manifests/goto/02-011-004.json,khirin,8,8,鳴門教育大学 Naruto University of Education,https://khirin-a.rekihaku.ac.jp/iiif/2/ext%2Fgoto%2F02-011-004-001.tif/full/400,/0/default.jpg
