[Table format continues]
[Right page]
[First row]
9th generation
(Note: Fourth son of 8th generation Banghan) Jiong
[Second row]
10th generation
Jing (Note: interpreter)
Lun

Forty-five people of the Liang family lineage who have not yet been verified:
Interpreter Xiang, Interpreter Fu
Interpreter Min, Secretary Hui (Note: tribute envoy in Jingtai 1st year)
Interpreter Mizu, Secretary Qiubao
Interpreter Zhen, Interpreter Dezhong
Interpreter Xiu, Interpreter Qi

[Left page]
Secretary Bin, Senior Counselor Ying (Note: tribute envoy in Chenghua 18th year)
Senior Counselor De (Note: tribute envoy in Hongzhi 5th and 7th years), Interpreter Xin
Interpreter Zheng, Senior Counselor Neng (Note: tribute envoy in Zhengde 6th year)
Interpreter Zeshun, Scholar Yuan
Senior Counselor Kuan, Chief Interpreter Yu
Scholar Po, Interpreter Min
Scholar Hong, Interpreter Guang
Interpreter Jun, Senior Counselor Chun (Note: tribute envoy in Jiajing 13th year)
Scholar Gui, Scholar Shi
