[Header] Butsurui Hinshitsu General Catalog ○4

Kencho-sho　　　　　Rhubarb　　　　　　Pokeweed
Grass pokeweed　　　　　Euphorbia　　　　　Euphorbia helioscopia
Kansui　　　　　Caper spurge　　　　　Henbane
Dichroa　　　　　Clerodendrum　　　　　Native dichroa
Veratrum　　　　　Wood veratrum　　　　　Aconite tuber
Aconite　　　　　White aconite　　　　　Yugaku
Pinellia　　　　　Daphne genkwa　　　　　Fish-intoxicating grass
Illicium　　　　　Skimmia　　　　　　Schisandra
Quisqualis　　　　　Morning glory seeds　　　　　Solanum
Convolvulus　　　　　Vine seedling　　　　　Rose

Aucklandia flower　　　　　Trichosanthes　　　　　Melothria
Asparagus　　　　　Stemona　　　　　　Wild asparagus
Polygonum　　　　　Grass dioscorea　　　　　Smilax
Glabrous greenbrier　　　　　Ampelopsis　　　　　　Sophora root
Uncaria　　　　　Honeysuckle　　　　　　Southern vine
Wisteria　　　　　Cattail　　　　　　Pond lily
Sand chopsticks　　　　　Stone sail　　　　　　Dendrobium
Barley dendrobium　　　　　Drynaria　　　　　　Selaginella
Ground cypress　　　　　Life-containing grass　　　　　Jade cypress
Lycopodium　　　　　Herb ash　　　　　　Foreign violet

[Header] Butsurui Hinshitsu General Catalog ○5
