○ History of Ikaho's Administrative Governance

This village was originally a proprietary estate (*sharyō*) of Ikaho Shrine. Around the middle of the Ashikaga period, it came under the domain of the Uesugi clan, and for several generations the chief retainer (*karō*) of the Nagao clan governed it while residing at Shirai Castle in the same district. Thereafter, it came under the rule of the Takeda clan of Kōshū and the Hōjō clan of Odawara at various times, but continued to be associated with the Uesugi of Shirai. After the eighteenth year of Tenshō (1590), Ii Naomasa became the lord of Minowa Castle in this province and also held governance over this village.

From Kan'ei 9 (1632) through the Meireki era: Magistrate (*daikan*) Moroboshi Shōbei, in charge
From Manji through the Enpō era: Magistrate Takamuro Yasuemon, in charge
From Tenna through Genroku 7: Yagi Jihei, in charge
From Genroku 8 through the Kyōhō era: Okada Shōdayū, in charge
From Kyōhō through the Hōreki era: Ina Hanzaemon, in charge
From Hōreki through the Meiwa era: Yokoo Rokuemon, in charge
From Meiwa through the An'ei era: Iizuka Ihei, in charge
From An'ei through the Kansei era: Endō Hyōemon, in charge
From Kansei 1 through Kansei 4: Suganuma Yasujūrō, in charge
From Kansei 5 through Kansei 12: Fuse Magosaburō, in charge
From Kyōwa 1 through Bunka 5: Inagaki Tōshirō, in charge
From Bunka 6 through Bunka 9: Furuhashi Hayato, in charge
From Bunka 10 through Bunsei 6: Yoshikawa Eizaemon, in charge
From Bunsei 7 through Tenpō 13: Yamamoto Daizen, in charge
From Tenpō 14 through Ansei 2: Hayashibe Zentazaemon, in charge
From Ansei 3 through Ansei 4: Kobayashi Fujinosuke, in charge
From Ansei 5 through Bunkyū 2: Ina Hanzaemon, in charge
From Bunkyū 3 onward: Ogasawara Hososaburō, in charge
From Genji 1 through Keiō 2: Nakayama Seizaburō, in charge
From Keiō 2 through Meiji 1: District Governor (*gundai*) Kimura Hida-no-kami, in charge
From the sixth month through the eleventh month of Meiji 1: Ōdo Ryū— (continues on next page)
