【右頁】
大河原　　　國付　　　力石　　　平井
寺部　　　澁川　　　森（モリ）村　　　御舘（ミタチ）
牛野（ゴノ）　　　山室【《割書：東西アリ｜西村ハ川西ニアリ》《割書：上ニ栽｜》：追記】　　　大見　　　渡合（ドアヒ）
岩倉　　　中垣内　　　中村　　　宮石
川向　南北　　　瀧脇　　　小沼【大沼ハ下ニ出：追記】　　　遊平
切二木（キフタギ）　　　長嶺　　　田代　上下　　　花薗
折地　　　蘭（アラヽキ）村　東西　　　黒坂　　　小松野　作手保
和合（ワカウ）　上同　　　大 桒（クハ）　上同　　　神【左脇に上□の追記】殿（カントノ）　上同　　　羽布　上同
吉平　上同　　　宇連野　上同　　　保殿　上同　　　阿藏上同
【左頁】
梨野　上同　　　箕打【箕打の右脇に三内□の追記】沢連（ミウチゾーレ）　上同　　　○蕨島　上同　　　○金（コン）沢連　上同
努【右脇に奴の追記】田沢　上同　　　川面　上同　　　上八木（ウバヤギ）　上同　　　大多賀　上同
五反田　　　○足利　　　蓮【右脇に連の追記】ケ谷　　　富永
田津沢【沢：見せ消し】原【原：追記】　　　見喜谷【見喜谷：見せ消し】【綿名：追記】　　　小瀧野【野：見せ消し】　上同　　　小田木
万町　　　明川　　　深重【深重：見せ消し】【源十：追記】　　　九 澤（ザウ）
白石　　　澤尻　　　菊田　　　髙能
萩平　　　小嶺　　　椿村　　　中金
野口【野口：見せ消し】【下ニ□：追記】　　　成合（ナライ）　　　寺屋氣（ジヤゲ）【左脇に寺谷下の追記】　　　□【□：見せ消し】手【手：追記】呂（テロ）
市木　　　上野【野：見せ消し】之【之：追記】山　　　飛泉　　　前【前：見せ消し】赤【赤：追記】原
