**List of Tree Names (continued)**

| Japanese Name | Ainu Term | Notes |
|---------------|-----------|-------|
| Ibuki (Japanese juniper, *Juniperus chinensis*) | Ota-shi-ke-bera | (Possibly Shari dialect) |
| Tarabu (possibly a type of Aralia) | Toke-ayus-ni | |
| Buna (Japanese beech, *Fagus crenata*) | Pira-ni | |
| Kashiwa (Japanese Emperor Oak, *Quercus dentata*) | Gomu-ni | |
| Goyōmatsu (Five-needled pine, *Pinus parviflora*) | Chikafupu / Ine-kere-ni | |
| Todo (Todomatsu/Sakhalin fir, *Abies sachalinensis*) | To-to-ro-tsu-pu (Shiraoi dialect) / Ihi-tafu | (Possibly Shari dialect) |
| Sakura (Cherry tree) | Karinba-ni | |
| Katsura (Katsura tree, *Cercidiphyllum japonicum*) | Ranko | |
| Hiba (Hiba arborvitae, *Thujopsis dolabrata*) | Masa-chiku-ni | |
| Kobushi (Kobus magnolia, *Magnolia kobus*) [also called Tama-murasaki] | Mau-kushi-ni | |
| Shina (Japanese linden/basswood, *Tilia japonica*) | Kobere-gefu | |
| Shichikamado (a type of shrub, possibly *Sorbaria* sp.) | Seikabara / Kieru-funeri | |
| Azusa [also called Tonkō] (a type of catalpa or birch) | Iwaki-shi-ni | |
| Doro (Japanese poplar/Doronoki, *Populus maximowiczii*) | Yai-ni | |
| Sanshō (Japanese pepper, *Zanthoxylum piperitum*) | Kanchi-kama-ni | |
