Ceramic ware/pottery (setomono)　　　　　　　　　Kenmara
Fishing hook (tsuri-bari)　　　　　　　　　　　　Abu・Nā
Mortar (usu)　　　　　　　　　　　　　　　　　　Nishyū
Arrowhead (ya-jiri)　　　　　　　　　　　　　　　Echiushi
Pestle (kine)　　　　　　　　　　　　　　　　　　Yutani
Shackles/fetters (kase)　　　　　　　　　　　　　Honiwe
Oar/scull (ro)　　　　　　　　　　　　　　　　　Omoshyui
Earring/ear ornament (mimi-kane)　　　　　　　　　Ninkari
Needle/pin (hari)　　　　　　　　　　　　　　　　Kemu
Wooden clogs (geta)　　　　　　　　　　　　　　　Piraka
Copper pot/pan (dō-nabe)　　　　　　　　　　　　Kabarushyu・Fūreshyu
Cooking stove/hearth (kamado)　　　　　　　　　　Toishyū
Snow boots (yuki-gutsu); in Karafuto (Sakhalin): 　Keri・Kiro
Kettle (yakan) [from "ca-su," meaning "tea pot"]　　Chyashyū
Sunken hearth/irori fireplace (irori)　　　　　　　Abeshyamu・Inunbe
