Honmachi Watanya (Cotton Merchant)
　　　　　　　　　　　Principal　Jūemon
　　　　　　　　　　　Same　Shimaya
Bunka 8, Year of the Sheep, 4th month　　Same　Hikobei

　　　　　　　　　　　Kitahara Rizaemon
　　　　　　　　　　　Kurokawachi Jinemon
　　　　　　　　　　　Ikegami Kinzaemon
　　　　　　　　　　　Yamada Ichirōbei
　　　　　　　　　　　Miyazawa Rokubei
　　　　　　　　　　　Sakai Yozaemon
　　　　　　　　　　　Ikegami Shōtarō

　　To: Asai Izaemon-sama
　　　　Matsui Chūbei-sama
　　　　Nakabayashi Tajirōemon-sama
　　　　Takada Rokurōemon-sama
　　　　Matsui Sonobei-sama
　　　　Yamashita Yoshirōemon-sama
　　　　Nakayama Yūrōemon-sama
　　　　Misawa Ichirōbei-sama
　　　　Yamashita Gentayū-sama
　　　　Iwasaki Takurōemon-sama
　　　　Takeiri Jūrōemon-sama
