label,manifestUrl,projectId,size,progress,attribution,thumbnail
ぎやどぺかどる,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/ecd1285a-42b6-4541-b640-1067b2f9fde0/manifest,kirishitan,191,12,東京大学総合図書館 / General Library in the University of Tokyo,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/26e8b61f27c184512f0457a548b7c27743203c31.jpg
Barb.or.153.pt.A,https://digi.vatlib.it/iiif/MSS_Barb.or.153.pt.A/manifest.json,kirishitan,202,1,Images Copyright Biblioteca Apostolica Vaticana,https://digi.vatlib.it/pub/digit/MSS_Barb.or.153.pt.A/cover/cover.jpg
切支丹御退治記 49巻. [1],https://www.dl.ndl.go.jp/api/iiif/2593095/manifest.json,kirishitan,94,1,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593095/T0000001/full/full/0/default.jpg
切支丹御退治記 49巻. [8],https://www.dl.ndl.go.jp/api/iiif/2593102/manifest.json,kirishitan,111,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593102/T0000001/full/full/0/default.jpg
切支丹御退治記 49巻. [5],https://www.dl.ndl.go.jp/api/iiif/2593099/manifest.json,kirishitan,126,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593099/T0000001/full/full/0/default.jpg
吉利支丹退治物語. 下,https://www.dl.ndl.go.jp/api/iiif/1187545/manifest.json,kirishitan,26,26,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/1187545/T0000001/full/full/0/default.jpg
オラシヨ雑纂断簡,https://www.dl.ndl.go.jp/api/iiif/1187576/manifest.json,kirishitan,21,3,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/1187576/T0000001/full/full/0/default.jpg
Luis, de Granada: Giya do pekadoru,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00117901/manifest,kirishitan,254,2,[object Object],[object Object],[object Object],https://api.digitale-sammlungen.de/iiif/image/v2/bsb00117901_00005/full/280,/0/default.jpg
南蛮寺興廃記,https://www.dl.ndl.go.jp/api/iiif/2541597/manifest.json,kirishitan,54,54,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2541597/T0000001/full/full/0/default.jpg
破吉利支丹,https://kotenseki.nijl.ac.jp/biblio/100273859/manifest,kirishitan,20,20,小泉吉永 国文学研究資料館,https://kokusho.nijl.ac.jp/api/iiif/100273859/v4/ORMK/ORMK-00459/ORMK-00459-00001.tif/full/400,/0/default.jpg
鬼理至端破却論伝,https://www.dh-jac.net/db1/books/nakai3604-02/portal/manifest.json,kirishitan,23,,中井文庫,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/PVT/nakai/Books/nakai3604/nakai3604-02/nakai3604-02_001.jpg
破提宇子,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00012881/manifest.json,kirishitan,61,2,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00012881/RB00012881_00001_0.ptif/full/400,/0/default.jpg
BnF. Département des Manuscrits. Japonais 312,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508361v/manifest.json,kirishitan,200,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508361v.thumbnail
切支丹御退治記 49巻. [7],https://www.dl.ndl.go.jp/api/iiif/2593101/manifest.json,kirishitan,100,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593101/T0000001/full/full/0/default.jpg
ドチリナ・キリシタン,https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif/394c6988-9bd0-4adc-8c3c-4e05cb02b6a2/manifest,kirishitan,89,18,東京大学総合図書館 / General Library in the University of Tokyo,https://iiif.dl.itc.u-tokyo.ac.jp/repo/files/medium/6e6d39a62e9c18bf0674ffe666522a0736f3abf3.jpg
BnF. Département des Manuscrits. Japonais 344,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508396b/manifest.json,kirishitan,206,22,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508396b.thumbnail
吉利支丹退治物語. 中,https://www.dl.ndl.go.jp/api/iiif/1187538/manifest.json,kirishitan,21,21,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/1187538/T0000001/full/full/0/default.jpg
鬼理至端破却論伝,https://www.dh-jac.net/db1/books/nakai3604-03/portal/manifest.json,kirishitan,28,,中井文庫,https://www.arc.ritsumei.ac.jp/archive01/theater/th_image/PB/PVT/nakai/Books/nakai3604/nakai3604-03/nakai3604-03_001.jpg
切支丹御退治記 49巻. [6],https://www.dl.ndl.go.jp/api/iiif/2593100/manifest.json,kirishitan,106,0,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2593100/T0000001/full/full/0/default.jpg
キリシタン遺物図,https://kotenseki.nijl.ac.jp/biblio/100287900/manifest,kirishitan,32,32,東京藝術大学附属図書館 国文学研究資料館,https://kokusho.nijl.ac.jp/api/iiif/100287900/v4/TKGL/TKGL-10095/TKGL-10095-00000.tif/full/400,/0/default.jpg
吉利支丹物語 2巻,https://www.dl.ndl.go.jp/api/iiif/2533346/manifest.json,kirishitan,57,57,国立国会図書館 National Diet Library, JAPAN,https://dl.ndl.go.jp/api/iiif/2533346/T0000001/full/full/0/default.jpg
