House of Lord Yabu Nii no Suke Chujo
　Kimura Wakasa no Kami Masanori

　　　　　　Referee Inspector for Japanese Sumo Wrestling
　　　　　　　13th Generation
　　　　　　　　Kimura Shozaburo (seal)
　　　　　　　　　　　Masateru　Monogram

　　　　　　　　　　Lord Kitahara Shotayu
　　　　　　　　　　Lord Kitazawa Katsuhei
　　　　　　　　　　Lord Kobayashi Tozaemon
　　　　　　　　　　Lord Hara Hachiuemon
　　　　　　　　　　Lord Mitsuzo Kyuzaemon
　　　　　　　　　　Lord Sakai Katsuhei
　　　　　　　　　　Lord Ikegami Honuemon
　　　　　　　　　　Lord Ohara Rizaemon
　　　　　　　　　　Lord Hirose Jirozaemon
　　　　　　　　　　Lord Ito Jizaemon
　　　　　　　　　　Lord Ikegami Kanuemon
　　　　　　　　　　Lord Fujisawa Rokurouemon
　　　　　　　　　　Lord Komatsu Kichiuemon
　　　　　　　　　　Lord Aruga Jiuemon
　　　　　　　　　　Lord Kumagai Choemon
　　　　　　　　　　Lord Ichise Kinzaemon
　　　　　　　　　　Lord Shirota Kichiroubei
　　　　　　　　　　Lord Yuzawa Tomoemon
　　　　　　　　　　Lord Mikoshiba Shichizaemon
