【左丁】ざ

　　　　　覚
一金六両三分弐朱　　　　鉾持村
一金五両三朱 　　　　　  茅□村
一金五両　　　　　同村　八郎右衛門
一金四両　　　　　同村　所左衛門
一金八両弐分一朱　　　上大崎村
一金弐両　　　　　同村　何右衛門
一金拾両壱朱　　　下大崎村
一金五両　　　　　同村　八左衛門
一金三両弐分　　　同村　外右衛門
一金三両弐分　　　同村　九兵衛
一金七両弐分弐朱　　　上川手村
一金六両壱分弐朱　　　下川手村
一金拾五両三分　　　　笠原村
一金三両弐分　　　　　青嶋村
一金弐両弐分　　　同村　与四郎
一金九両弐分　　　　　日願村
一金四両　　　　　同村　喜左衛門
一金四両　　　　　同村　吉右衛門
