Kuchiki Hyōbu-shōyū　　　　　　　Kyōgoku Shūzen-no-shō
Arima Kurōdo　　　　　　　　　　　Ōya
Kōriki Sakon-dayū　　　　　　　　　Minbu-shōyū
Abe　　　　　　　　　　　　　　　Inoue Kawachi-no-kami
Shuri-dayū　　　　　　　　　　　　Tōdō Sahyōe-no-suke
Honda Noto-no-kami　　　　　　　　Honda Shōgen
Naruse Izu-no-kami　　　　　　　　　Tanaka
Hori Ichi-no-shō　　　　　　　　　　Shuden-no-kami
Kamio　　　　　　　　　　　　　　　Miura
Kunai-shōyū　　　　　　　　　　　　Shima-no-kami
Ogasawara　　　　　　　　　　　　　Mizuno Settsu-no-kami
Iki-no-kami　　　　　　　　　　　　Akita Hayato-no-shō
Sakai Shūzen-no-shō　　　　　　　　Ogasawara Izumo-no-kami
Shimada Minbu-shōyū　　　　　　　　Takabayashi Kawachi-no-kami
Sano Kyōshin　　　　　　　　　　　Sakai
Matsudaira　　　　　　　　　　　　Kaga-no-kami
Hyōbu-shōyū　　　　　　　　　　　Negoro Minbu-shōyū
Ikeda Tatechi　　　　　　　　　　　Matsudaira Izu-no-kami
Wakisaka Genba-no-kami　　　　　　　Andō Ukyōshin
Abe Bungo-no-kami　　　　　　　　　Inaba Tango-no-kami
Naitō Iga-no-kami　　　　　　　　　Sakai Sanuki-no-kami
Matsudaira Etchū-no-kami　　　　　　

Page attendants　　　　　　　　　　　Same
