## 病名

- 金創（切り傷）
- 打撲（打ち身）
- 骨折・挫傷
- 竹・木・針・釘などを踏んで刺さった傷
- 脚気
- 痛風
- リウマチ
- 骨の周囲の化膿性疾患（浮骨瘡）
- 鬱症（気鬱）
- 積聚（腹部の痞え・しこり）
- 虚労（慢性的な体力消耗）
- 頭痛
- めまい
- 疝気（下腹部・陰嚢の痛み）
- 淋病
- 消渇（糖尿病に類する病）
- 子宮の病
- 痔ろう
- 脱肛
- 白・赤帯下（おりもの）
- 下疳・便毒（性病の一種）
- 湿疹・皮膚潰瘍
- 湯火傷（やけど）
- 冷え症
- 筋骨の痛み
- 脚の湿気による風疾・下血
- 流注（るちゅう：皮下の膿瘍）
- 瘭疽（ひょうそ：指先の化膿）
- 瘰癧（るいれき：頸部リンパ節の腫れ）
- 癰疽（ようそ：大きな腫れ物・癰）
- 疥瘡（疥癬・ひぜん）
- 白癬（しらくも）
- 頑癬（たむし）
- 霜焼け
- 夜盲症（とり目）
- 痔（しつ）
- 癌瘡（がんそう）
- 癩病（ハンセン病）

---

### 【第一】

入浴を始めて最初の一日・二日の間は、一回から二回、または三回までを上限とすること。さらに体に合うようであれば四・五回まで行うのが良いとされるが、気持ちが良いからといって昼夜の区別なく頻繁に入浴しすぎるのは非常によくない。特に老人や体の弱い人はなおさら注意を払うべきである。長年の持病を抱えている者は、日を重ねて継続的に湯治することが肝要である。

### 【第二】

湯治において温泉が体に合うかどうかを試してみるには、最初（の入浴の際に）……
