same                         same
shōkenji                6    shōunji
hakitake                     nunohiki            7
same                         same                8
inunohisa                    jiname-susuki       9
inu-name-susuki             shōkotake           10
tsurutake                   same                11
kinukasa-take              same                12

one variety                 tengu-take          13
tsurutake                   kōtake              14
meshitake-shimeji          tengu-take          15
same                        kojima-karakasa     16
one variety                 sutake              17
