label,manifestUrl,projectId,size,progress,attribution,thumbnail
豊橋市史談,https://www.dl.ndl.go.jp/api/iiif/954691/manifest.json,code4libjp,382,256,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/954691/F0000001/full/full/0/default.jpg
東参名勝案内,https://www.dl.ndl.go.jp/api/iiif/765200/manifest.json,code4libjp,72,72,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/765200/F0000001/full/full/0/default.jpg
新釈輿地図説,https://www.dl.ndl.go.jp/api/iiif/2532343/manifest.json,code4libjp,51,51,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2532343/T0000001/full/full/0/default.jpg
豊橋市都市計画第一期事業報告書,https://www.dl.ndl.go.jp/api/iiif/1222164/manifest.json,code4libjp,154,61,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1222164/T0000001/full/full/0/default.jpg
豊橋の年中行事,https://www.dl.ndl.go.jp/api/iiif/1455856/manifest.json,code4libjp,44,44,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1455856/T0000001/full/full/0/default.jpg
産業の豊橋,https://www.dl.ndl.go.jp/api/iiif/1233585/manifest.json,code4libjp,23,23,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1233585/T0000001/full/full/0/default.jpg
[歴民カード_歴史] 浪図,https://khirin-i.rekihaku.ac.jp/manifests/nmjh_rekimin_h/12349023.json,code4libjp,2,2,,https://khirin-i.rekihaku.ac.jp/iiif/nmjh_rekimin_h/12349023_01.tif/full/400,/0/default.jpg
[歴民カード_歴史] 群雀図,https://khirin-i.rekihaku.ac.jp/manifests/nmjh_rekimin_h/12349040.json,code4libjp,2,2,,https://khirin-i.rekihaku.ac.jp/iiif/nmjh_rekimin_h/12349040_01.tif/full/400,/0/default.jpg
三河国古蹟考,https://kotenseki.nijl.ac.jp/biblio/200018495/manifest,code4libjp,208,97,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200018495/v4/NIAC/MIT-X00355-022/MIT-X00355-022-00001.tif/full/400,/0/default.jpg
豊橋商工案内. 昭和15年度版,https://www.dl.ndl.go.jp/api/iiif/1036236/manifest.json,code4libjp,147,31,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1036236/F0000001/full/full/0/default.jpg
書画五拾三駅　三河豊橋往昔戦争,https://www.dl.ndl.go.jp/api/iiif/1305684/manifest.json,code4libjp,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1305684/T0000001/full/full/0/default.jpg
豊橋市街圖,https://www.dl.ndl.go.jp/api/iiif/936980/manifest.json,code4libjp,8,8,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/936980/F0000001/full/full/0/default.jpg
豊橋市立高山病院年報. 昭和12年度,https://www.dl.ndl.go.jp/api/iiif/1115457/manifest.json,code4libjp,18,18,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1115457/F0000001/full/full/0/default.jpg
小野湖山翁小伝,https://www.dl.ndl.go.jp/api/iiif/1209441/manifest.json,code4libjp,74,42,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1209441/T0000001/full/full/0/default.jpg
東海道五拾三次　吉田・豊川橋,https://www.dl.ndl.go.jp/api/iiif/1309866/manifest.json,code4libjp,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1309866/T0000001/full/full/0/default.jpg
駿河舞 3巻,https://www.dl.ndl.go.jp/api/iiif/2533130/manifest.json,code4libjp,30,30,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2533130/T0000001/full/full/0/default.jpg
三河之物語,https://kotenseki.nijl.ac.jp/biblio/200019193/manifest,code4libjp,40,37,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200019193/v4/NIKI/096-0153/096-0153-00001.tif/full/400,/0/default.jpg
三河吉田藩動員史料,https://www.dl.ndl.go.jp/api/iiif/1172144/manifest.json,code4libjp,47,47,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1172144/T0000001/full/full/0/default.jpg
三河国[東海道図],https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00020016/manifest.json,code4libjp,3,3,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00020016/RB00020016_00001_0.ptif/full/400,/0/default.jpg
東海道之内　二川,https://www.dl.ndl.go.jp/api/iiif/1309579/manifest.json,code4libjp,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1309579/T0000001/full/full/0/default.jpg
三河国地図,https://www.dl.ndl.go.jp/api/iiif/2542541/manifest.json,code4libjp,3,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2542541/T0000001/full/full/0/default.jpg
三河国神領考,https://kotenseki.nijl.ac.jp/biblio/200018516/manifest,code4libjp,26,26,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200018516/v4/NIAC/MIT-X00355-022/MIT-X00355-022-00105.tif/full/400,/0/default.jpg
東三河之古城,https://www.dl.ndl.go.jp/api/iiif/1192003/manifest.json,code4libjp,33,33,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1192003/T0000001/full/full/0/default.jpg
郷土誌,https://www.dl.ndl.go.jp/api/iiif/765001/manifest.json,code4libjp,20,20,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/765001/F0000001/full/full/0/default.jpg
〔日本古城絵図〕　東海道之部（2）. 37 三州吉田之城図,https://www.dl.ndl.go.jp/api/iiif/1286302/manifest.json,code4libjp,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1286302/T0000001/full/full/0/default.jpg
豊橋市水道誌,https://www.dl.ndl.go.jp/api/iiif/1225183/manifest.json,code4libjp,453,140,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1225183/T0000001/full/full/0/default.jpg
〔日本古城絵図〕　東海道之部（2）. 36 参州吉田城図,https://www.dl.ndl.go.jp/api/iiif/1286301/manifest.json,code4libjp,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1286301/T0000001/full/full/0/default.jpg
豊橋志要,https://www.dl.ndl.go.jp/api/iiif/765211/manifest.json,code4libjp,63,63,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/765211/F0000001/full/full/0/default.jpg
古義真言宗本末帳 21巻. [4] 第三 伊賀国、伊勢国、志摩国、尾張国、三河国、遠江国、駿河国、伊豆国、甲斐国,https://www.dl.ndl.go.jp/api/iiif/2548812/manifest.json,code4libjp,70,70,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2548812/T0000001/full/full/0/default.jpg
三河国二葉松,https://kotenseki.nijl.ac.jp/biblio/200018402/manifest,code4libjp,139,139,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200018402/v4/NIAC/MIT-X00355-006/MIT-X00355-006-00001.tif/full/400,/0/default.jpg
皇都祇園祭礼四條河原之涼,https://www.dl.ndl.go.jp/api/iiif/1310174/manifest.json,code4libjp,3,2,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1310174/T0000001/full/full/0/default.jpg
三河鉄道営業案内,https://www.dl.ndl.go.jp/api/iiif/948089/manifest.json,code4libjp,51,51,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/948089/F0000001/full/full/0/default.jpg
東参河資料叢書. 第1編,https://www.dl.ndl.go.jp/api/iiif/1177908/manifest.json,code4libjp,37,37,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1177908/T0000001/full/full/0/default.jpg
東三河道中記 : 豊橋市及其附近案内,https://www.dl.ndl.go.jp/api/iiif/1108072/manifest.json,code4libjp,154,154,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1108072/F0000001/full/full/0/default.jpg
二川　,https://www.dl.ndl.go.jp/api/iiif/1309432/manifest.json,code4libjp,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1309432/T0000001/full/full/0/default.jpg
豊橋商工案内,https://www.dl.ndl.go.jp/api/iiif/1057326/manifest.json,code4libjp,251,218,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1057326/F0000001/full/full/0/default.jpg
豊橋市市制施行二十年誌,https://www.dl.ndl.go.jp/api/iiif/1176185/manifest.json,code4libjp,216,77,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1176185/T0000001/full/full/0/default.jpg
