label,manifestUrl,projectId,size,progress,attribution,thumbnail
百人一首絵抄　十六　中納言行平,https://www.dl.ndl.go.jp/api/iiif/1313160/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313160/T0000001/full/full/0/default.jpg
六十六番　前大僧正行尊,https://www.dl.ndl.go.jp/api/iiif/1313070/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313070/T0000001/full/full/0/default.jpg
六十二番　清少納言,https://www.dl.ndl.go.jp/api/iiif/1313142/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313142/T0000001/full/full/0/default.jpg
五十九番　赤染衛門,https://www.dl.ndl.go.jp/api/iiif/1313148/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313148/T0000001/full/full/0/default.jpg
百人一首絵抄 三十七 壬生忠峯,https://www.dl.ndl.go.jp/api/iiif/1313155/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313155/T0000001/full/full/0/default.jpg
八十壱番　道因法師,https://www.dl.ndl.go.jp/api/iiif/1313126/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313126/T0000001/full/full/0/default.jpg
百人一首絵抄　卅一　春道列樹,https://www.dl.ndl.go.jp/api/iiif/1313084/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313084/T0000001/full/full/0/default.jpg
四十ばん 平兼盛,https://www.dl.ndl.go.jp/api/iiif/1313064/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313064/T0000001/full/full/0/default.jpg
八十八番　式子内親王,https://www.dl.ndl.go.jp/api/iiif/1313101/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313101/T0000001/full/full/0/default.jpg
百人一首絵抄　十一　参議篁,https://www.dl.ndl.go.jp/api/iiif/1313073/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313073/T0000001/full/full/0/default.jpg
百人一首絵抄　九　小野小町,https://www.dl.ndl.go.jp/api/iiif/1313090/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313090/T0000001/full/full/0/default.jpg
百人一首絵抄　十四　河原左大臣,https://www.dl.ndl.go.jp/api/iiif/1313154/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313154/T0000001/full/full/0/default.jpg
五十五番　大納言公任,https://www.dl.ndl.go.jp/api/iiif/1313131/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313131/T0000001/full/full/0/default.jpg
百人一首絵抄 三十六 文屋朝康,https://www.dl.ndl.go.jp/api/iiif/1313092/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313092/T0000001/full/full/0/default.jpg
四十二ばん　清原元輔,https://www.dl.ndl.go.jp/api/iiif/1313117/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313117/T0000001/full/full/0/default.jpg
百人一首絵抄 三十二 紀友則,https://www.dl.ndl.go.jp/api/iiif/1313156/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313156/T0000001/full/full/0/default.jpg
五十番　藤原義孝,https://www.dl.ndl.go.jp/api/iiif/1313139/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313139/T0000001/full/full/0/default.jpg
九十九番　後鳥羽院,https://www.dl.ndl.go.jp/api/iiif/1313113/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313113/T0000001/full/full/0/default.jpg
七十六番　法性寺入道前関白太政大臣,https://www.dl.ndl.go.jp/api/iiif/1313102/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313102/T0000001/full/full/0/default.jpg
百人一首絵抄　四　山辺赤人,https://www.dl.ndl.go.jp/api/iiif/1313109/manifest.json,karuta,1,1,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1313109/T0000001/full/full/0/default.jpg
