Sumo wrestler　《Marginal note: arao》　　　Banriki Iwazō
Jōruri chanter　《Marginal note: saru》　　　Takemoto Kajitodayū
Painter　《Marginal note: mono wa hibi ni》　　　Ōsō Sansetsu
Ikebana master　《Marginal note: utoshi》　　　Teikyōsai
Sumo wrestler　《Marginal note: o-Edo no》　　　Hōgawa Ishigorō
Chivalrous man　《Marginal note: hana ka chiri》　　　Nigumi Chōzaemon
Three-stringed instrument　《Marginal note: mashita》　　　Kineya Rokuzaemon
Three-stringed instrument　《Marginal note: nagai iki》　　　Kiyomoto Ichizō
Fiction writer　《Marginal note: sure》　　　Gohenshiya Hankyu
Professional entertainer　《Marginal note: ba》　　　Miyako Yozadayū
Musician　《Marginal note: naki》　　　Tokiwazu Kamitayū
Three-stringed instrument　《Marginal note: nochi wa oshiku》　　　Kishizawa Mojihachi
Female artisan　《Marginal note: naru》　　　Miyako Chie
Throat/voice　《Marginal note: yoi》　　　Kiyomoto Sometayū
Musical style　《Marginal note: michizure no dōgyō》　　　Kiyomoto Narumitayū
Style　《Marginal note: sannin》　　　Kiyomoto Hidetayū
Literature　《Marginal note: mare》　　　Doi Nankai
Calligraphy　《Marginal note: mono de gozari》　　　Watanabe Genzō
Writing　《Marginal note: mashita》　　　Takizawa Kindō
Musical performance　《Marginal note: oshiu gozarimasu》　　　Tsuruzawa Saiji
