【二頁上】
 
覺朗　　　　　　　律　三四　　行詵　　　　　　　律一〇六
儼志　　　　　　　律　七九　　行忍　　　　　　　律　四六
鑑源　　　　　　　律　六九　　凝海　　　　　　　招　三五
鑑眞　　律一一四・招　　三　　凝然　　律一五四・招　二五
希操　　　　　　　律　八五　　玉周　　　　　　　招　三八
希覺　　　　　　　律　九七　　空惠　　　　　　　招　五三
徽猷　　　　　　　律　九五　　空泉　　　　　　　招　六〇
喜寛　　　　　　　招　一一　　窮源　　　　　　　招　三〇
煕怡　　　　　　　律　七七　　軍法力　　　　　　招　六六
義威　　　　　　　律　七五　　觀澄　　　　　　　招　一一
義靜　　律一一九・招　　八　　願盛　　　　　　　招　一一
義宣　　　　　　　律　七二　　景霄　　　　　　　律　九六
義朗　　　　　　　律　五五　　慶雲　　　　　　　招　五二
敎圓　　　　　　　招　六七　　慶運　　　　　　　律一四三
敎願　　　　　　　招　五五　　慶圓　　　　　　　招　二七
敬道　　　　　　　律　三九　　賢惠　　　　　　　招　三一 
鏡慧　　　　　　　律一五一　　賢憬　　　　　　　招　四六
行賢　　　　　　　招　六〇　　賢照　　　　　　　招　三七
行居　　　　　　　律一一一　　賢盛　　　　　　　招　五九
行濽　　　　　　　招　四七　　賢明　　　　　　　招　五二

【二頁下】
賢譽　　　　　　　招　二九　　元照　　　　　　　律一〇三
見空　　　　　　　律一四六　　元肇　　　　　　　律一〇八
見智　　　　　　　律一三一　　元表　　　　　　　律　九四
剱智　　　　　　　招　二八　　彦儞　　　　　　　律　九四
顯一　　　　　　　招　三一　　弘源　　　　　　　律　三二
憲靜　　　　　　　律一五二　　弘度　　　　　　　律　二五
𥧬通　　　　　　　律一七〇　　弘思　　　　　　　律一一三
乾素　　　　　　　律　八二　　洪淵　　　　　　　律　三四
源俊　　　　　　　律一四六　　洪遵　　　　　　　律　三二
源秀　　律一四八・招　二九　　洪理　　　　　　　律　二七
源智　　　　　　　律　三一　　幸尊　　　　　　　律　七七
源聖　　　　　　　招　五六　　皎然　　　　　　　律一四九
源祐　　　　　　　招　三三　　廣雄　　　　　　　律　八五
玄琬　　　　　　　律　四〇　　恆景　　　　　　　律　五七
玄儼　　　　　　　律　六三　　嚴峻　　　　　　　律　七二
玄逵　　　　　　　律　五六　　嚴貞　　　　　　　律一三八
玄基　　　　　　　律一五〇
玄暢　　　　　　　律　九〇　　　　サ行
玄忍　　律一三九・招　五三　　齋翰　　　　　　　律七六
元惠　　　　　　　招　三〇　　贊寧　　　　　　　律九九

【三頁上】
志玉　　律一六二・招　五八　　實祐　　　　　　　招　六三
志相　　　　　　　律　七二　　實譽　　　　　　　招　三二
志忠　　　　　　　招　四六　　眞懿　　　　　　　律　三九
志道　　　　　　　律　二〇　　眞圓　　　　　　　律一五〇
志明　　　　　　　律　六〇　　眞海　　　　　　　招　五六
思允　　　　　　　律一三〇　　眞空　　　　　　　招　一一
思敬　　　　　　　律一二九　　眞空　　律一四〇・招　四九
思眞　　　　　　　律一二九　　眞璟　　　　　　　招　一〇
思淳　　　　　　　律一五九　　眞賢　　　　　　　招　五九
思宣　　　　　　　律一二八　　眞源　　　　　　　律一五一
思託　　律一一八・招　四二　　眞照　　律一五三・招　五三
思敏　　　　　　　律一〇五　　眞性　　律一五三・招　二二
思蓮　　　　　　　招　五二　　眞乘　　　　　　　律　八二
士順　　　　　　　招　五九　　眞表　　　　　　　律　六七
慈濟　　　　　　　律一四九　　眞法　　　　　　　招　四七
慈禪　　　　　　　招　六六　　信空　　　　　　　律一四七
實海　　　　　　　招　三八　　信乘　　律一五四・招　二五
實義　　　　　　　招　一一　　信如尼　　　　　　招　六七
實舜　　　　　　　律一四六　　心海　　　　　　　律一二九
實範　　律一二三・招　一五　　神皓　　　　　　　律　七四

【三頁下】 
神湊　　　　　　　律　八六　　舜盛　　　　　　　招　三四
尋慧　　　　　　　招　二八　　春海　　　　　　　招　五九
尋算　　律一五三・招　二四　　處雲　　　　　　　律　九九　
寂惠　　　　　　　招　五三　　照慧　　律一六〇・招　五七
守一　　　　　　　律一一〇　　照遠　　律一六〇・招　五六
守言闍梨　　　　　律　九六　　照巖　　　　　　　招　六二
守直　　　　　　　律　七一　　照薫　　　　　　　招　三六
修廣　　　　　　　律一四六　　照玄　　律一五九・招　五六
壽延　　　　　　　招　一二　　照珍　　律一六四・招　三五
壽高　　　　　　　招　一一　　照峯　　　　　　　招　三九
壽闍梨　　　　　　律　九五　　聖一　　律一二一・招　四六
秀律師　　　　　　律　五八　　聖守　　律一四一・招　五〇
周律師　　　　　　律　五三　　聖然　　律一五四・招　五四
重海　　　　　　　律　二八　　聖皋　　　　　　　律一六一
重助　　　　　　　招　三一　　性遠　　　　　　　招　五三
重禪　　　　　　　律一五五　　性海　　　　　　　律一五〇
從志　　　　　　　律　九一　　性瑜　　　　　　　律一五〇
從禮　　　　　　　律　九六　　證玄　　律一四一・招　二一
俊才　　律一五七・招　五五　　證修　　　　　　　招　四六
俊芿　　　　　　　律一二四　　昌禪　　　　　　　招　一二
