○Shiitake mushroom (shiitake)　　　Breaks up blood stasis. Not good for patients.
○Oyster mushroom (shimeji)　　　Not good for people with illness. If it's a favorite food, use a little.
○Oyster mushroom (hiratake)　　Should not eat too much. Those growing on willow trees are the best.
○Yellow cap mushroom (ikuchi)　　Wheat mushroom (shōro), blue cap mushroom (hatsutake), trunk fat mushroom (tsunitake) - when eaten together with toxic things, they cause harm. Should not be used for patients.
○Pine mushroom (matsutake)　　　Increases vital essence and nourishes the spleen and stomach. May matsutake (summer matsutake) are inferior. Bad for patients, and if eaten mixed with glutinous rice, it becomes toxic. If eaten with soy pulp (okara or tofu lees), one becomes intoxicated and vomits. Various mushrooms eaten together with oily foods cause much harm. When cooking mushrooms with ginger and rice grains, those that turn black in color harm people. Also, mushrooms with hair on top and no pattern underneath, those curled like a fan, red-colored ones, those that glow at night, and those without continuous fibers when split open - all are toxic. Should not be eaten.
○Yellow mushroom (kishimeji)　　　Patients should not use.
○Broom mushroom (tedzumitake)　　Same as above.
○Pine needle mushroom (haritake)　　Same as above.
○Reed mushroom (kōtake)　　　Same as above.
○Gardenia flower (kuchinashi no hana)　　Non-toxic. Even healthy people would not favor it. Patients should avoid it.
○Aralia leaves (ukogi)　　Together with wolfberry (kuko) leaves, both are forbidden for patients. Those with spleen-stomach deficiency cold must avoid them.
○Konjac (konnyaku)　　　Toxic. Removes thirst. If eaten together with grape wine, the throat hurts.
○Siler root (bōfū)　　　Good for healthy people. Patients should not use it.
