地震　　　　　　　　　　○印の分は先へつゝけて
出火　　 例（れい）のおわらひ　　　よむへし跡は小字と
　　　　　　　　　　　　　 合わせてよむなり


○びつくり　　　　　　　　○こん夜は
　　　　したよ　　　　　　　　ねかさないよ
　〽地しんと　　　　　　　　〽とき〴〵の
　　　　 火（くわ）事　　　　　　　　ゆりかへし

○オヤマアこんなに　　　　○じつに
　　　たつているよ　　　　　　　うれしいよ
　〽七ヶ所の　　　　　　　　〽おすくひの
　　　おすくひ小家　　　　　　　　　おむすひ

○ひとがくると　　　　　　○はだかに
　　　　　見るよ　　　　　　　なつておしよ
　〽つぶれた　　　　　　　　〽かうばりの
　　　　家くら　　　　　　　　　 手（て）つだい

○あれサぬけ　　　　　　　○ヲヤ〳〵おまへも
　　　　そうたよ　　　　　　　　おだしたねへ
　〽はや仕舞の　　　　　　　〽かうらいの
　　　　せんとう　　　　　　　　　　にもつ

○ほねもかわも　　　　　　○大そう
　　　ひとつになるよ　　　　　　でたよ
　〽よ□はらの　　　　　　　〽まち〳〵の
　　　　　　死人　　　　　　　　　ほとこし

○日本ぢうが　　　　　　　○はやく
　　　いつしよだよ　　　　　　　おやりよ
　〽きよねんからの　　　　　〽四斗たるの
　　　　地しんさわき　　　　　　かりとむらひ

○アレもふ　　　　　　　　○かつかり
　　　いつたよ　　　　　　　　　　したよ
　〽はりの下の　　　　　　　〽こんとの　
　　　　おうしやう　　　　　　　　大へん

