label,manifestUrl,projectId,size,progress,attribution,thumbnail
BnF. Département des manuscrits. Japonais 637 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b105110461/manifest.json,galica,52,50,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105110461.thumbnail
BnF. Département des manuscrits. Japonais 345 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000278b/manifest.json,galica,171,27,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000278b.thumbnail
BnF. Département des manuscrits. Japonais 5600,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105243363/manifest.json,galica,112,112,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105243363.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf 258,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105090597/manifest.json,galica,7,7,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105090597.thumbnail
BnF. Département des manuscrits. Japonais 302,https://gallica.bnf.fr/iiif/ark:/12148/btv1b105109982/manifest.json,galica,131,11,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b105109982.thumbnail
BnF. Département des manuscrits. Japonais 343,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10510435b/manifest.json,galica,684,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10510435b.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 89 (1),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10508392j/manifest.json,galica,159,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10508392j.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 128 (2),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10525770x/manifest.json,galica,27,5,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10525770x.thumbnail
BnF. Département des Manuscrits. Japonais 268,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10524346h/manifest.json,galica,70,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b10524346h.thumbnail
BnF. Département des manuscrits. Japonais 391,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000393c/manifest.json,galica,101,8,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b6000393c.thumbnail
BnF. Département des Manuscrits. Smith-Lesouëf Japonais 132,https://gallica.bnf.fr/iiif/ark:/12148/btv1b530148322/manifest.json,galica,136,0,Bibliothèque nationale de France,https://gallica.bnf.fr/ark:/12148/btv1b530148322.thumbnail
