四十五とうふ鮓（すし）　　　　　　　　四十六 松木（まつぎ）菽腐（どうふ）
四十七 吾妻（あづま）でんがく　　　　　　四十八 一種の棣棠（やまぶき）とう不
四十九 靄（かすみ）とうふ　　　　　　　　五十　西洋（なんばん）でんが久
五十一あらたま豆腐（とうふ）　　　　　　五十二 霙（みぞれ）蕎麦（そば）
五十三 一種（いつしゆ）の今出川（いまでがわ）とうふ　　　五十四 加料（かやく）黄檗（わうばく）斗于不（とうふ）

　　　　奇品
五十五 小野（おの）でむが久　　　　　　五十六 煮取（にとり）でんがく
五十七 岡本（をかもと）とうふ　　　　　　　五十八 奈良漬（ならづけ）とうふ
五十九 一種（いつしゆ）の鶏卵（たまご）とうふ　  　　 六十　源氏（げんじ）菽乳（とうふ）
六十一 女郎花（おみなへし）でんがく　　　　　六十二あやめ豆腐
六十三 紅（べに）菽乳（とうふ）　　　　　　　　　六十四 真（しん）のと宇不
六十五 腐乳（とうふじい）　　　　　　　　　　六十六 同
六十七 同　　　　　　　　　　　六十八 小倉（をぐら）でむが久
六十九 千歳（ちとせ）と卯浮　　　　　　　七十　松（まつ）の山（やま）
七十一ころもで　　　　　　 　　七十二 一種（いつしゆ）の沙金（しやきん）とうふ
七十三 鰒（あわび）斗宇婦（とうふ）　　　　　　　　七十四 紅葉（もみぢ）と卯不
七十五 芝蘭（しらん）菽乳（とうふ）　　　　　　　　七十六 鰻鱺（うなぎ）様（とうふ）
七十七 紫（むらさき）とうふ　　　　　 　　七十八 菜花飯（なたねめし）
