- Miscellaneous tree forest: 6 tan 2 se 15 bu　　　Minami-fukuchi Village
- Miscellaneous tree forest: 4 chō 8 tan bu　　　　Same village
- Pine forest: 3 tan 3 se 10 bu　　　　　　　　　Kazan Village
- Pine forest: 2 tan bu　　　　　　　　　　　　　Same village
- Miscellaneous tree forest: 5 se bu　　　　　　　Same village

- Pine forest: 1 tan 2 se bu　　　　　　　　　　　Same village
- Pine forest: 2 tan bu　　　　　　　　　　　　　Same village
- Miscellaneous tree forest: 12 chō bu　　　　　　Same village
- Pine forest: 8 tan 3 se 10 bu　　　　　　　　　Same village
- Pine forest: 1 chō bu　　　　　　　　　　　　　Same village
