　　猿蛸 鼈（スツホン）大喧嘩　　　　二冊《割書：丸小板｜》
黄　蜷川新右衛門　　　　　三冊《割書：丸小板　富川房信｜》
　　壇浦二人教経　　　　　三冊《割書：丸小板　同｜》
　　朝比奈草摺実記　　　　二冊《割書：丸小　同｜》
　　大磯虎車塚物語　　　　二冊《割書：丸小　同｜》
　　風流鬼￣ニ瘤　　　　　　二冊《割書：丸小　同｜》
　　化物見越入道始　　　　二冊《割書：丸小　同｜》
　　桃栗三平柿八兵衛　　　二冊《割書：丸小　同｜》

　　猿廻春花婿　　　　　　三冊《割書：丸小　同｜》
黒　朝比奈大黒舞　　　　　二冊《割書：鱗形板　画工不知｜》
同　金平宝船　　　　　　　二冊《割書：同｜》
同　蝉丸児手柏　　　　　　三冊《割書：甚板｜》
黄　風流とんだ茶釜　　　　二冊《割書：【瓢箪の図】奥村板　房信｜》
同　上総国青砥物語　　　　三冊《割書：同　同｜》
同　根元桃太郎　　　　　　二冊《割書：伊勢治板　富川吟雪｜》
黒　風流 稚（ヲサナ）小町　　　　　三冊《割書：鶴　板｜》
