全交つね〳〵草　　　　年号不知　　全交【全交法師常々艸】
網（あみ）大慈大悲のかへ玉　　同　　　　　宇三太【網大慈大悲の換玉】【コマ112】
阿部や三助信田遊参　　同　　　　　万宝
源平布引滝　　　　　　〃　　　　　春英画【コマ112】
一谷嫩軍記　　　　　　〃　　　　　同
左甚五郎竜一誅　　　　〃　　　　　万宝【竜の一談】
新極楽世界　　　　　　〃　　　　　柿発斎
金銀仙人栄花夢　　　　〃　　　　　富川【きんきん仙人／金々仙人通言一巻】

梶原好間二度のかけ　　〃　　　　　四方山人【梶原再見／二度の賭】
万載集ちよひらいれき　〃　　　　　春町【万歳集狂歌来歴／万載集著微来歴】
大違宝船　　　　　　　〃　　　　　全交【コマ91】
従夫（それから）以来記　　　　　　〃　　　　　万象
御物好茶臼の巻　　　　〃　　　　　通笑【御物好茶臼芸】
江戸春一夜千両　　　　〃　　　　　京伝【コマ97, 133も】
早道節用守　　　　　　〃　　　　　同【コマ19も】
勇勢智勇湊　　　　　　〃　　　　　清満画


