label,manifestUrl,projectId,size,progress,attribution,thumbnail
諸士系譜　巻之59　と之部2,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/059_to_02/manifest.json,aizuda2022,88,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!059_to_02!001.tif/full/400,/0/default.jpg
諸士系譜　巻之65　ち之部1,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/065_chi_01/manifest.json,aizuda2022,50,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!065_chi_01!001.tif/full/400,/0/default.jpg
諸士系譜　巻之130　た之部6,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/130_ta_06/manifest.json,aizuda2022,69,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!130_ta_06!001.tif/full/400,/0/default.jpg
諸士系譜　巻之21　い之部21,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/021_i_21/manifest.json,aizuda2022,59,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!021_i_21!001.tif/full/400,/0/default.jpg
諸士系譜　巻之87　わ之部1,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/087_wa_01/manifest.json,aizuda2022,63,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!087_wa_01!001.tif/full/400,/0/default.jpg
諸士系譜　巻之153　つ之部4,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/153_tsu_04/manifest.json,aizuda2022,78,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!153_tsu_04!001.tif/full/400,/0/default.jpg
諸士系譜　巻之185　う之部4,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/185_u_04/manifest.json,aizuda2022,99,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!185_u_04!001.tif/full/400,/0/default.jpg
諸士系譜　巻之158　ね之部2,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/158_ne_02/manifest.json,aizuda2022,58,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!158_ne_02!001.tif/full/400,/0/default.jpg
諸士系譜　巻之344　ひ之部15,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/344_hi_15/manifest.json,aizuda2022,87,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!344_hi_15!001.tif/full/400,/0/default.jpg
諸士系譜　巻之220　ま之部1,https://adeac.jp/viewitem/city-aizuwakamatsu/viewer/iiif/220_ma_01/manifest.json,aizuda2022,95,0,会津若松市立会津図書館,https://dcfs.trc-adeac.co.jp/digilib/Scaler/IIIF/0720215100!0720215100100010!220_ma_01!001.tif/full/400,/0/default.jpg
