《annotation: 11th generation, Senior line》Shō Sei
《annotation: 10th generation, Senior line》Sen'i
《annotation: 9th generation, Senior line》Shō En
《annotation: 8th generation, Senior line》Shō Taikyū
《annotation: 7th generation, Senior line》Shō Shitatsu
《annotation: 6th generation, Senior line》Shō Hashi
《annotation: 5th generation, Senior line》Bunei
《annotation: 4th generation, Senior line》Seii
《annotation: 3rd generation, Senior line》Eiji
《annotation: 2nd generation, Senior line》Eiso
《annotation: 1st generation, Senior line》Shunba Junki
○Shunten
《annotation: Junior line, 1st generation》Yoshimoto
《annotation: Junior line, 2nd generation》Taisei
《annotation: Junior line, 3rd generation》Tamagusuku
《annotation: Junior line, 4th generation》Satto
《annotation: Junior line, 5th generation》Shishō
《annotation: Junior line, 6th generation》Shō Chū
