label,manifestUrl,projectId,size,progress,attribution,thumbnail
これこれ草 2巻. [2],https://www.dl.ndl.go.jp/api/iiif/2557265/manifest.json,zukan,42,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2557265/T0000001/full/full/0/default.jpg
畫圖百花鳥 5巻. [1],https://www.dl.ndl.go.jp/api/iiif/2546758/manifest.json,zukan,29,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2546758/T0000001/full/full/0/default.jpg
本草図譜. 巻91-93,https://www.dl.ndl.go.jp/api/iiif/2550804/manifest.json,zukan,82,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2550804/T0000001/full/full/0/default.jpg
介譜,https://www.dl.ndl.go.jp/api/iiif/1286742/manifest.json,zukan,82,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1286742/T0000001/full/full/0/default.jpg
虫譜図説 12巻. [3],https://www.dl.ndl.go.jp/api/iiif/2553451/manifest.json,zukan,53,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2553451/T0000001/full/full/0/default.jpg
草木性譜 3巻. [3],https://www.dl.ndl.go.jp/api/iiif/2555816/manifest.json,zukan,39,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2555816/T0000001/full/full/0/default.jpg
本草図譜. 巻55-57,https://www.dl.ndl.go.jp/api/iiif/2550792/manifest.json,zukan,74,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2550792/T0000001/full/full/0/default.jpg
目八譜. 第６巻,https://www.dl.ndl.go.jp/api/iiif/1287301/manifest.json,zukan,127,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1287301/T0000001/full/full/0/default.jpg
錦繍枕 5巻. [5],https://www.dl.ndl.go.jp/api/iiif/2557569/manifest.json,zukan,44,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2557569/T0000001/full/full/0/default.jpg
目八譜. 第１４巻,https://www.dl.ndl.go.jp/api/iiif/1287309/manifest.json,zukan,35,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1287309/T0000001/full/full/0/default.jpg
梅園草木花譜夏之部. 3,https://www.dl.ndl.go.jp/api/iiif/1287285/manifest.json,zukan,57,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1287285/T0000001/full/full/0/default.jpg
画本虫ゑらみ,https://www.dl.ndl.go.jp/api/iiif/1288345/manifest.json,zukan,22,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1288345/T0000001/full/full/0/default.jpg
水谷禽譜. [2],https://www.dl.ndl.go.jp/api/iiif/2553655/manifest.json,zukan,86,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2553655/T0000001/full/full/0/default.jpg
朝顔叢. 上巻,https://www.dl.ndl.go.jp/api/iiif/2536620/manifest.json,zukan,35,10,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2536620/T0000001/full/full/0/default.jpg
畫本野山草. [4],https://www.dl.ndl.go.jp/api/iiif/2557220/manifest.json,zukan,20,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2557220/T0000001/full/full/0/default.jpg
梅園草木花譜春之部. 4,https://www.dl.ndl.go.jp/api/iiif/1287283/manifest.json,zukan,59,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1287283/T0000001/full/full/0/default.jpg
畫本野山草. [2],https://www.dl.ndl.go.jp/api/iiif/2557218/manifest.json,zukan,22,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2557218/T0000001/full/full/0/default.jpg
梅園草木花譜春之部. 2,https://www.dl.ndl.go.jp/api/iiif/1287281/manifest.json,zukan,49,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/1287281/T0000001/full/full/0/default.jpg
貝盡浦之錦 2巻. [2],https://www.dl.ndl.go.jp/api/iiif/2576042/manifest.json,zukan,33,0,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2576042/T0000001/full/full/0/default.jpg
