id	label	manifestUrl	projectId	size	progress	attribution	thumbnail
2CB8DF9CCF2BFA6707650E40A9A9BDCB	艸花繪前集. [1]	https://www.dl.ndl.go.jp/api/iiif/2586993/manifest.json	zukan	21	21	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2586993/T0000001/full/full/0/default.jpg
2CF7592BDCD1677B6DF35D9B4802D93F	梅園草木花譜秋之部. 2	https://www.dl.ndl.go.jp/api/iiif/1287292/manifest.json	zukan	45	45	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287292/T0000001/full/full/0/default.jpg
2DF754E16A0A543288A9D26405941538	本草図譜. 巻79-81	https://www.dl.ndl.go.jp/api/iiif/2550800/manifest.json	zukan	92	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550800/T0000001/full/full/0/default.jpg
2E229291CF0FD81714AA31CF8FFD46D9	錦繍枕 5巻. [3]	https://www.dl.ndl.go.jp/api/iiif/2557567/manifest.json	zukan	29	28	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2557567/T0000001/full/full/0/default.jpg
2E879DE19C37C41BDF639117826AF2E0	目八譜. 第９巻	https://www.dl.ndl.go.jp/api/iiif/1287304/manifest.json	zukan	95	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287304/T0000001/full/full/0/default.jpg
2FA7A293779881BC02DC33D9E5F3309F	本草図譜. 巻10-12	https://www.dl.ndl.go.jp/api/iiif/2550777/manifest.json	zukan	65	13	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550777/T0000001/full/full/0/default.jpg
323A93A39B174B01D89FF4AF6025253B	怡顔斎梅品 2巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2557787/manifest.json	zukan	50	1	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2557787/T0000001/full/full/0/default.jpg
33323DDEB1B3641ACDF435D0050BB870	怡顔齋櫻品	https://www.dl.ndl.go.jp/api/iiif/2536945/manifest.json	zukan	98	98	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2536945/T0000001/full/full/0/default.jpg
338E1F2AA2F758D8187005110F1C7638	本草図譜. 巻67-69	https://www.dl.ndl.go.jp/api/iiif/2550796/manifest.json	zukan	90	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550796/T0000001/full/full/0/default.jpg
3BD754955634E0243A86FE61966DF724	梅園魚品図正. 巻１	https://www.dl.ndl.go.jp/api/iiif/1287112/manifest.json	zukan	56	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287112/T0000001/full/full/0/default.jpg
3D50A6D5AC35B07FA8C9A0DF22D3C7A5	畫本野山草. [5]	https://www.dl.ndl.go.jp/api/iiif/2557221/manifest.json	zukan	24	24	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2557221/T0000001/full/full/0/default.jpg
425FA0500361F1007BF8652F558B6801	鯨史稿 6巻. [3]	https://www.dl.ndl.go.jp/api/iiif/2575477/manifest.json	zukan	89	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2575477/T0000001/full/full/0/default.jpg
429E97E9DEF9A4319D83C0CC6836460D	畫圖百花鳥 5巻. [2]	https://www.dl.ndl.go.jp/api/iiif/2546759/manifest.json	zukan	25	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2546759/T0000001/full/full/0/default.jpg
447DA3BB88767BF41C5315C8D6E43115	草木奇品家雅見 3巻. [1]	https://www.dl.ndl.go.jp/api/iiif/2558232/manifest.json	zukan	45	1	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2558232/T0000001/full/full/0/default.jpg
458A079F963C67681FA9E32419F145E9	本草図譜. 巻88-90	https://www.dl.ndl.go.jp/api/iiif/2550803/manifest.json	zukan	75	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550803/T0000001/full/full/0/default.jpg
462DEE57577557B50C86FDA20BB5CFED	茶席挿花集	https://www.dl.ndl.go.jp/api/iiif/2541280/manifest.json	zukan	30	25	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2541280/T0000001/full/full/0/default.jpg
464125F1B344C3A1BDB26E8C2318A023	畫圖百花鳥 5巻. [3]	https://www.dl.ndl.go.jp/api/iiif/2546760/manifest.json	zukan	19	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2546760/T0000001/full/full/0/default.jpg
47640101BD2DAC8E381E0776F886117B	梅園草木花譜夏之部. 4	https://www.dl.ndl.go.jp/api/iiif/1287286/manifest.json	zukan	57	1	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287286/T0000001/full/full/0/default.jpg
4868A76A99D40FE66A96AF1CFB124534	本草図譜. 巻73-75	https://www.dl.ndl.go.jp/api/iiif/2550798/manifest.json	zukan	63	1	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550798/T0000001/full/full/0/default.jpg
4D2ED9D749736298F1F07E04FABBBE62	本草図譜. 巻5-6	https://www.dl.ndl.go.jp/api/iiif/2550775/manifest.json	zukan	71	13	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550775/T0000001/full/full/0/default.jpg
4D4907431C604313620D38CEEF9A8F7A	梅園草木花譜春之部. 1	https://www.dl.ndl.go.jp/api/iiif/1287280/manifest.json	zukan	56	48	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287280/T0000001/full/full/0/default.jpg
52F4747821E7BEC6F14BF8EC56E4607D	華鳥譜	https://www.dl.ndl.go.jp/api/iiif/1286931/manifest.json	zukan	71	41	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1286931/T0000001/full/full/0/default.jpg
555742705C44E9D938039252137A58A6	目八譜. 第１巻	https://www.dl.ndl.go.jp/api/iiif/1286773/manifest.json	zukan	89	6	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1286773/T0000001/full/full/0/default.jpg
56C7BDA62F7E5FAAC6A14A71C91FA786	本草図譜. 巻13-15	https://www.dl.ndl.go.jp/api/iiif/2550778/manifest.json	zukan	79	4	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2550778/T0000001/full/full/0/default.jpg
581A50244E5DC2A47BAD364702A76914	目八譜. 第１３巻	https://www.dl.ndl.go.jp/api/iiif/1287308/manifest.json	zukan	56	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/1287308/T0000001/full/full/0/default.jpg
59348CD03B146E5652944A1AFE1B596C	畫圖百花鳥 5巻. [4]	https://www.dl.ndl.go.jp/api/iiif/2546761/manifest.json	zukan	23	0	国立国会図書館 National Diet Library, JAPAN	https://www.dl.ndl.go.jp/api/iiif/2546761/T0000001/full/full/0/default.jpg
