45. Tofu Sushi　　　　　　　　　　　　　46. Matsuki Tofu
47. Azuma Dengaku　　　　　　　　　　　 48. A Type of Yamabuki Tofu
49. Mist Tofu　　　　　　　　　　　　　 50. Nanban Dengaku
51. Aratama Tofu　　　　　　　　　　　　52. Sleet Soba
53. A Type of Imadegawa Tofu　　　　　　 54. Seasoned Yellow Bark Tofu

　　　　Rare Grade
55. Ono Dengaku　　　　　　　　　　　　 56. Nitori Dengaku
57. Okamoto Tofu　　　　　　　　　　　　58. Narazuke Tofu
59. A Type of Egg Tofu　　　　　　　　　 60. Genji Tofu
61. Ominaeshi Dengaku　　　　　　　　　 62. Ayame Tofu
63. Red Tofu　　　　　　　　　　　　　　64. Genuine Tofu
65. Tofu Soup　　　　　　　　　　　　　 66. Same
67. Same　　　　　　　　　　　　　　　　68. Ogura Dengaku
69. Chitose Tofu　　　　　　　　　　　　70. Pine Mountain
71. Koromode　　　　　　　　　　　　　　72. A Type of Gold Dust Tofu
73. Abalone Tofu　　　　　　　　　　　　74. Maple Leaf Tofu
75. Shiran Tofu　　　　　　　　　　　　 76. Eel-style Tofu
77. Purple Tofu　　　　　　　　　　　　 78. Rapeseed Flower Rice
