label,manifestUrl,projectId,size,progress,attribution,thumbnail
疫病法,https://kotenseki.nijl.ac.jp/biblio/200007619/manifest,epidemic,6,5,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200007619/v4/0110/0110-190604/0110-190604-0015.tif/full/400,/0/default.jpg
厄病除鬼面蟹写真,https://kotenseki.nijl.ac.jp/biblio/200014992/manifest,epidemic,1,1,国文学研究資料館,https://kotenseki.nijl.ac.jp/api/iiif/200014992/v4/NIIP/YU3-0156/YU3-0156-00001.tif/full/400,/0/default.jpg
瘡毒根切請合十日療治 : 長崎流,https://honkoku.org/manifests/sodoku.json,epidemic,1,1,Stanford University East Asia Library,https://os3-373-19774.vs.sakura.ne.jp/iiif/2/sodoku.tif/full/400,/0/default.jpg
瘡家示訓,https://www.dl.ndl.go.jp/api/iiif/2539459/manifest.json,epidemic,28,28,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2539459/T0000001/full/full/0/default.jpg
虎列剌予防の諭解 1巻,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00002602/manifest.json,epidemic,37,37,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00002602/RB00002602_00001_0.ptif/full/400,/0/default.jpg
駆疫法 : コレラヲヨケ並ニナホスシカタ,https://www.dl.ndl.go.jp/api/iiif/835121/manifest.json,epidemic,20,20,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/835121/F0000001/full/full/0/default.jpg
[安政五年流行病治方],http://dcollections.lib.keio.ac.jp/sites/default/files/iiif/FJK/F-a-18/manifest.json,epidemic,7,6,慶應義塾大学メディアセンター
Keio University Libraries,https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-18/tif/001.tif/full/400,/0/default.jpg
木戸文部卿病中出仕ノ件,https://uta.u-tokyo.ac.jp/uta/iiif/14608/manifest,epidemic,3,0,東京大学文書館 / The University of Tokyo Archives, JAPAN,https://uta.u-tokyo.ac.jp/uta/files/medium/74692fa1d2aeb7d1cb30ac469e93dba01c892dcd.jpg
疫病除之薬,http://dcollections.lib.keio.ac.jp/sites/default/files/iiif/FJK/F-e-7/manifest.json,epidemic,68,68,慶應義塾大学メディアセンター
Keio University Libraries,https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-e-7/tif/001.tif/full/400,/0/default.jpg
疫病流行ニ付山伏両人祓被仰付御酒拝領之事,https://crch.dl.saga-u.ac.jp/nikki/manifests/manifest-50397.json,epidemic,314,314,This property is owned by <a href="http://www.lib.saga-u.ac.jp/">Saga University Library</a> <br>and is used for regionological research by <a href="http://www.chiikigaku.saga-u.ac.jp/">The Center for Regional Culture and History, Saga University, Japan. </a>,https://crch.dl.saga-u.ac.jp/iiif/meiwa6/0003.tif/full/400,/0/default.jpg
告病傷寒温疫家説,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00002486/manifest.json,epidemic,16,16,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00002486/RB00002486_00001_0.ptif/full/400,/0/default.jpg
近比疫病流行ニ付為転除山伏え祓被仰候事,https://crch.dl.saga-u.ac.jp/nikki/manifests/manifest-33396.json,epidemic,300,300,This property is owned by <a href="http://www.lib.saga-u.ac.jp/">Saga University Library</a> <br>and is used for regionological research by <a href="http://www.chiikigaku.saga-u.ac.jp/">The Center for Regional Culture and History, Saga University, Japan. </a>,https://crch.dl.saga-u.ac.jp/iiif/kansei6/0003.tif/full/400,/0/default.jpg
麻疹養生鑑,https://www.dl.ndl.go.jp/api/iiif/2539457/manifest.json,epidemic,11,11,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/2539457/T0000001/full/full/0/default.jpg
痧病類記 2巻,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00002933/manifest.json,epidemic,105,17,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00002933/01/RB00002933_00001_0.ptif/full/400,/0/default.jpg
麻疹全快御目得口上,https://khirin-i.rekihaku.ac.jp/manifests/nishikie/H-22-1-10-14.json,epidemic,1,1,国立歴史民俗博物館 National Museum of Japanese History,https://khirin-i.rekihaku.ac.jp/iiif/ext/nishikie/464F4437.tif/full/400,/0/default.jpg
虎列刺病流行之際……,https://iiif.ll.chiba-u.jp/manifest/150/2506.json,epidemic,1,1,Chiba University,https://iiif.ll.chiba-u.jp/mmd/iiif/150/2506/3587.tiff/full/90,/0/default.jpg
泡盛効 ; 萬病水療治以呂波歌. 全,http://dcollections.lib.keio.ac.jp/sites/default/files/iiif/FJK/F-a-13/manifest.json,epidemic,22,21,慶應義塾大学メディアセンター
Keio University Libraries,https://iiif.lib.keio.ac.jp/iipsrv/FJK/F-a-13/tif/001.tif/full/400,/0/default.jpg
国字断毒論 1巻附1巻,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00002481/manifest.json,epidemic,61,61,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00002481/RB00002481_00001_0.ptif/full/400,/0/default.jpg
麻疹御伽双紙,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00005212/manifest.json,epidemic,25,25,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005212/RB00005212_00001_0.ptif/full/400,/0/default.jpg
正陽門駅ニ於ケル防疫班,http://codh.rois.ac.jp/north-china-railway/manifest/3602-004508-0,epidemic,1,0,<a href="http://codh.rois.ac.jp/north-china-railway/about/#committee">華北交通アーカイブ作成委員会</a>,http://codh.rois.ac.jp/north-china-railway/iiif/original/3602-004508-0.tif/full/400,/0/default.jpg
痘瘡･麻疹･水痘,https://iiif.ll.chiba-u.jp/manifest/150/2499.json,epidemic,1,1,Chiba University,https://iiif.ll.chiba-u.jp/mmd/iiif/150/2499/3579.tiff/full/90,/0/default.jpg
妙医甲斐徳本麻疹之来記,https://khirin-i.rekihaku.ac.jp/manifests/nishikie/H-22-1-11-1.json,epidemic,1,1,国立歴史民俗博物館 National Museum of Japanese History,https://khirin-i.rekihaku.ac.jp/iiif/ext/nishikie/464F4440.tif/full/400,/0/default.jpg
山内古湯村流行病ニ付転除御祈祷城備坊へ被仰付候事,https://crch.dl.saga-u.ac.jp/nikki/manifests/manifest-49733.json,epidemic,252,252,This property is owned by <a href="http://www.lib.saga-u.ac.jp/">Saga University Library</a> <br>and is used for regionological research by <a href="http://www.chiikigaku.saga-u.ac.jp/">The Center for Regional Culture and History, Saga University, Japan. </a>,https://crch.dl.saga-u.ac.jp/iiif/kansei3/0003.tif/full/400,/0/default.jpg
橋本綱常脚気病実験ノ為メ出張稟請ノ件,https://uta.u-tokyo.ac.jp/uta/iiif/21349/manifest,epidemic,2,0,東京大学文書館 / The University of Tokyo Archives, JAPAN,https://uta.u-tokyo.ac.jp/uta/files/medium/8ceb182821187f2d1564f767dd7b7d63d7cb73ee.jpg
避疫要法,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00004787/manifest.json,epidemic,26,26,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00004787/RB00004787_00001_0.ptif/full/400,/0/default.jpg
国字痘疹戒草 3巻,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00002483/manifest.json,epidemic,95,62,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00002483/01/RB00002483_00001_0.ptif/full/400,/0/default.jpg
麻疹養生伝,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00005246/manifest.json,epidemic,20,20,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00005246/RB00005246_00001_0.ptif/full/400,/0/default.jpg
天然痘予防注意兼種痘者之注意,https://www.dl.ndl.go.jp/api/iiif/835334/manifest.json,epidemic,18,18,国立国会図書館 National Diet Library, JAPAN,https://www.dl.ndl.go.jp/api/iiif/835334/F0000001/full/full/0/default.jpg
新聞文庫・絵,https://rmda.kulib.kyoto-u.ac.jp/iiif/metadata_manifest/RB00000122/manifest.json,epidemic,84,66,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00000122/RB00000122_00002_0.ptif/full/400,/0/default.jpg
生徒甘粕鷲郎大村央木村乙吉病ニ付退学ノ件,https://uta.u-tokyo.ac.jp/uta/iiif/15174/manifest,epidemic,6,0,東京大学文書館 / The University of Tokyo Archives, JAPAN,https://uta.u-tokyo.ac.jp/uta/files/medium/e531bd7663134db529d4c308b3f8edb381f3f5c2.jpg
安政五年秋･片岡仁左衛門,https://iiif.ll.chiba-u.jp/manifest/150/2504.json,epidemic,1,1,Chiba University,https://iiif.ll.chiba-u.jp/mmd/iiif/150/2504/3585.tiff/full/90,/0/default.jpg
