【Left】
Minami-Saku County　County office location　Usuda Village
Kita-Saku County　　　　　　　Iwamura-da Town
Chiisagata County　　　　　　　Ueda Town
Suwa County　　　　　　　Kami-Suwa Village
Kami-Ina County　　　　　Temporary　Ina Village　【"Temporary" written in red ink】
Shimo-Ina County　　　　　　　Iida Town　　　
Nishi-Chikuma County　　　　　　　Fukushima Village　
Higashi-Chikuma County　　　　　　　Kita-Fukashi Town
Minami-Azumi County　　　　　　　Toyoshina Village
Kita-Azumi County　　　　　　　Omachi Village　　　
Sarashina County　　　　　　Temporary《Side note: Within Shiozaki Village｜Shinano-i Station》【"Temporary" written in red ink】
Hanishina County　　　　　　Temporary　Yashiro Village　【"Temporary" written in red ink】
