label,manifestUrl,projectId,size,progress,attribution,thumbnail
京都出火略図,https://www.dheq.org/repo/iiif/5506/manifest,hirose,1,0,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/b53c3bc93e314ce6de7bab7c017633b8eaa8e166.jpg
島原半島之図,https://www.dheq.org/repo/iiif/5739/manifest,hirose,1,0,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/99b816ccd36380a6f95b68857d97206486374eac.jpg
安政二年十月二日夜亥刻大地震焼失市中騒動図,https://www.dheq.org/repo/iiif/5709/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/3e154090bc2a8e82b313a9bd6a8cf3cc435ae227.jpg
大阪今昔三度の大火,https://www.dheq.org/repo/iiif/5527/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/1a11577aa4d74e89bfacbc05cd4386c7f897687c.jpg
ほね抜どぞう／なまづおなんぎ大家場焼,https://www.dheq.org/repo/iiif/5729/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/d0e98a941dd2cdf8a70977686761fe88065b07a3.jpg
島原市街傍近現景,https://www.dheq.org/repo/iiif/5738/manifest,hirose,1,0,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/c2de345214107f8e832d71dcdde9287fffdd23cf.jpg
嘉永七寅年大地震記,https://www.dheq.org/repo/iiif/5499/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/aa7dff7076e75481affc4a1abeea151d06b5a93c.jpg
京都出火略図,https://www.dheq.org/repo/iiif/5494/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/3889ab15a940c0aeaecdd2f62c2f4d96ff6a2ee6.jpg
京都大火之略図,https://www.dheq.org/repo/iiif/5507/manifest,hirose,1,0,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/ad78b730af929caf436bb5f54539c17e1ce1d69b.jpg
京都大火之図,https://www.dheq.org/repo/iiif/5496/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/42b3337d3521d8b1afc0bf70410849b76bd5a209.jpg
痘瘡治療法,https://www.dheq.org/repo/iiif/5803/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/2dab0f880305c2f01a5709e1f1c4a8240c5883ca.jpg
信州大地震届書写し,https://www.dheq.org/repo/iiif/5747/manifest,hirose,1,1,あいおいニッセイ同和損保株式会社,https://www.dheq.org/repo/files/medium/1eeffde9fe6a17baf5dd6bd8ce4324d6f15a5a33.jpg
