Shukuda, Todoroki Waterfall, Yabu River, Ōganeku
Ie, Yaedake, Toguchi River, Ōarashi Mountain
Sesoko, Minna [above: Nago district], Tamagusuku, Ōi River
Izumi, Tē Port, Nakasone, Unten Port
Kōri Island, Oyadomari [above: Nakijin district], Ōkawa, Guga
Kantena [above: Haneji district], Shioya, Miyagusuku, Nerome
Nyōha, Neshame [above: Ōgimi district], Yona-no-takahira
Binoki-hira, Zachū-hira, Bumi-hira, Ōkā-hira
Kayauchi-bantan, Fukuchimata Mountain, Ōja River, Kagamichi Port [above: Kunigami district]
Ginoza Port, Kanna Port [above: Kin district], Ōzato, Sashiki
Kochinda, Takamine, Gushichan, Mabuni
Makabe, Kanegusuku [above: Shimajiri], Kohan-gwa, Kokubu River
Madan-bashi, Shikina [above: Mawashi district], Nyōha River [Tomigusuku district], Yonabaru Port
Tsuha-kowan [above: Ōzato district], Uegusuku [Sashiki district], Yaese [Kochinda district]
Nanzan-gusuku [Takamine district], Itoman, Mukui River [above: Kanegusuku district], Iegusuku
Izena, Noho, Bashi Mountain, Tokashiki
Zamami, Aka, Amuro, Ago-no-ura
Nakazato, Maja, Uegusuku, Ōdake
Nakamori, Kadekaru River, Ōta River, Gima River
Taiwan, Uruka, Shimoji, Hirara
